Quarter,Time,Tm,Detail,DAL,NOR
1.0,5:08,Cowboys,Brett Maher 28 yard field goal,3,0
2.0,14:55,Saints,Wil Lutz 40 yard field goal,3,3
,8:42,Saints,Wil Lutz 42 yard field goal,3,6
,0:00,Saints,Wil Lutz 19 yard field goal,3,9
3.0,7:47,Cowboys,Ezekiel Elliott 1 yard rush (Brett Maher kick),10,9
4.0,13:41,Saints,Wil Lutz 26 yard field goal,10,12
