Unnamed: 0,NYG,PHI
First Downs,20,20
Rush-Yds-TDs,24-109-0,21-62-2
Cmp-Att-Yd-TD-INT,25-44-268-1-1,24-30-314-2-0
Sacked-Yards,3-16,0-0
Net Pass Yards,252,314
Total Yards,361,376
Fumbles-Lost,0-0,1-1
Turnovers,1,1
Penalties-Yards,11-113,7-49
Third Down Conv.,5-14,3-8
Fourth Down Conv.,0-2,0-0
Time of Possession,31:47,28:13
