Unnamed: 0,TEN,PIT
First Downs,18,19
Rush-Yds-TDs,25-86-0,23-36-0
Cmp-Att-Yd-TD-INT,22-35-244-1-1,33-43-363-1-2
Sacked-Yards,1-10,4-42
Net Pass Yards,234,321
Total Yards,320,357
Fumbles-Lost,2-1,1-1
Turnovers,2,3
Penalties-Yards,5-28,6-60
Third Down Conv.,4-13,4-14
Fourth Down Conv.,0-0,0-0
Time of Possession,28:21,36:11
