Quarter,Time,Tm,Detail,TEN,PIT
2,1:22,Steelers,Santonio Holmes 34 yard pass from Ben Roethlisberger (Jeff Reed kick),0,7
,0:48,Titans,Justin Gage 14 yard pass from Kerry Collins (Rob Bironas kick),7,7
4,11:03,Titans,Rob Bironas 45 yard field goal,10,7
,2:57,Steelers,Jeff Reed 32 yard field goal,10,10
OT,10:28,Steelers,Jeff Reed 33 yard field goal,10,13
