Unnamed: 0,DEN,LVR
First Downs,20,21
Rush-Yds-TDs,19-66-0,41-203-4
Cmp-Att-Yd-TD-INT,23-47-257-1-4,16-25-154-0-0
Sacked-Yards,2-10,0-0
Net Pass Yards,247,154
Total Yards,313,357
Fumbles-Lost,2-1,0-0
Turnovers,5,0
Penalties-Yards,7-37,8-82
Third Down Conv.,7-15,6-13
Fourth Down Conv.,1-1,0-0
Time of Possession,23:22,36:38
