Quarter,Time,Tm,Detail,WAS,MIN
1.0,10:43,Redskins,"Safety,",2,0
,7:24,Redskins,Chris Cooley 33 yard pass from Todd Collins (Shaun Suisham kick),9,0
2.0,7:43,Redskins,Santana Moss 32 yard pass from Todd Collins (Shaun Suisham kick),16,0
,0:44,Redskins,Antwaan Randle El 15 yard pass from Clinton Portis (pass failed),22,0
3.0,6:52,Redskins,Shaun Suisham 26 yard field goal,25,0
,2:54,Vikings,Jim Kleinsasser 2 yard pass from Tarvaris Jackson (Ryan Longwell kick),25,7
4.0,10:18,Vikings,Tarvaris Jackson 6 yard rush (Ryan Longwell kick),25,14
,5:06,Redskins,Clinton Portis 13 yard rush (Shaun Suisham kick),32,14
,1:58,Vikings,Tarvaris Jackson 1 yard rush (Ryan Longwell kick),32,21
