Unnamed: 0,WAS,MIN
First Downs,19,23
Rush-Yds-TDs,32-106-1,25-87-2
Cmp-Att-Yd-TD-INT,23-30-269-3-0,25-41-220-1-2
Sacked-Yards,2-8,1-8
Net Pass Yards,261,212
Total Yards,367,299
Fumbles-Lost,2-0,2-1
Turnovers,0,3
Penalties-Yards,7-52,6-40
Third Down Conv.,6-14,4-10
Fourth Down Conv.,0-2,0-1
Time of Possession,30:44,29:16
