Unnamed: 0,SEA,STL
First Downs,15,23
Rush-Yds-TDs,31-170-2,28-113-1
Cmp-Att-Yd-TD-INT,14-25-102-0-0,28-46-282-1-2
Sacked-Yards,1-7,4-31
Net Pass Yards,95,251
Total Yards,265,364
Fumbles-Lost,2-1,0-0
Turnovers,1,2
Penalties-Yards,7-52,4-35
Third Down Conv.,4-12,8-18
Fourth Down Conv.,1-1,0-2
Time of Possession,26:28,33:32
