Quarter,Time,Tm,Detail,SEA,STL
1.0,7:54,Seahawks,Justin Forsett 3 yard rush (Olindo Mare kick),7,0
2.0,13:34,Rams,Donnie Avery 1 yard pass from Kyle Boller (Josh Brown kick),7,7
,1:38,Seahawks,Josh Wilson 65 yard interception return (Olindo Mare kick),14,7
,0:00,Rams,Josh Brown 55 yard field goal,14,10
3.0,3:37,Seahawks,Olindo Mare 29 yard field goal,17,10
4.0,13:57,Seahawks,Justin Forsett 2 yard rush (Olindo Mare kick),24,10
,9:24,Seahawks,Olindo Mare 38 yard field goal,27,10
,0:44,Rams,Steven Jackson 1 yard rush (Josh Brown kick),27,17
