Unnamed: 0,ATL,DAL
First Downs,26,23
Rush-Yds-TDs,32-158-3,21-127-4
Cmp-Att-Yd-TD-INT,24-36-285-2-0,22-26-232-0-1
Sacked-Yards,1-5,2-12
Net Pass Yards,280,220
Total Yards,438,347
Fumbles-Lost,0-0,0-0
Turnovers,0,1
Penalties-Yards,6-70,5-31
Third Down Conv.,9-14,1-6
Fourth Down Conv.,0-0,0-1
Time of Possession,34:13,25:47
