Quarter,Time,Down,ToGo,Location,ATL,DAL,Detail,EPB,EPA
1,3:05,,,DAL 3,7,14,Matt Bryant kicks extra point good,0.000,0.000
1,3:05,,,ATL 35,7,14,"Matthew Bosher kicks off 73 yards, touchback",0.000,-0.280
1,3:00,1,10,DAL 20,7,14,Brandon Weeden pass complete short left to Joseph Randle for 9 yards (tackle by Paul Worrilow),0.280,0.950
1,2:24,2,1,DAL 29,7,14,Joseph Randle middle for 4 yards (tackle by William Moore),0.950,1.140
1,1:45,1,10,DAL 33,7,14,Joseph Randle left guard for 1 yard (tackle by Tyson Jackson),1.140,0.730
1,1:02,2,9,DAL 34,7,14,Brandon Weeden pass complete short middle to Lance Dunbar for 8 yards (tackle by Ricardo Allen),0.730,1.090
1,0:20,3,1,DAL 42,7,14,Joseph Randle right guard for no gain (tackle by Justin Durant),1.090,-0.590
Quarter,Time,Down,ToGo,Location,ATL,DAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,1,DAL 42,7,14,"Chris Jones punts 45 yards, fair catch by Eric Weems",-0.590,0.320
2,14:51,1,10,ATL 13,7,14,Devonta Freeman right tackle for 7 yards (tackle by Barry Church),-0.320,0.220
2,14:08,2,3,ATL 20,7,14,"Matt Ryan pass complete short right to Roddy White for 17 yards (tackle by Kyle Wilber and Barry Church). Penalty on Ryan Schraeder: Ineligible Downfield Pass, 5 yards (no play)",0.220,-0.570
2,13:31,2,8,ATL 15,7,14,Matt Ryan pass complete short middle to Devonta Freeman for 6 yards (tackle by Sean Lee),-0.570,-0.470
2,12:49,3,2,ATL 21,7,14,Matt Ryan pass incomplete short right intended for Julio Jones,-0.470,-1.960
2,12:44,4,2,ATL 21,7,14,"Matthew Bosher punts 43 yards, returned by Cole Beasley for 8 yards (tackle by Eric Weems)",-1.960,-1.860
2,12:34,1,10,DAL 44,7,14,Darren McFadden left tackle for 10 yards (tackle by Ricardo Allen),1.860,2.520
2,11:57,1,10,ATL 46,7,14,"Darren McFadden left end for -3 yards (tackle by Ra'Shede Hageman). Penalty on Tyron Smith: Offensive Holding, 10 yards (no play)",2.520,1.860
2,11:32,1,20,DAL 44,7,14,Brandon Weeden pass complete short middle to Jason Witten for 7 yards (tackle by Paul Worrilow),1.860,1.570
2,10:49,2,13,ATL 49,7,14,Brandon Weeden pass complete short middle to Lance Dunbar for 14 yards (tackle by Robenson Therezie),1.570,3.250
2,10:17,1,10,ATL 35,7,14,Darren McFadden left guard for 5 yards (tackle by Desmond Trufant and Justin Durant),3.250,3.380
2,9:36,2,5,ATL 30,7,14,Brandon Weeden pass complete short right to Jason Witten for 11 yards (tackle by Phillip Adams),3.380,4.310
2,8:54,1,10,ATL 19,7,14,Darren McFadden right guard for 7 yards (tackle by Vic Beasley),4.310,4.920
2,8:15,2,3,ATL 12,7,14,Darren McFadden middle for 10 yards (tackle by Robenson Therezie),4.920,6.740
2,7:31,1,2,ATL 2,7,20,"Darren McFadden left end for 2 yards, touchdown",6.740,7.000
2,7:31,,,ATL 2,7,21,Dan Bailey kicks extra point good,0.000,0.000
2,7:31,,,DAL 35,7,21,"Dan Bailey kicks off 74 yards, touchback",0.000,-0.280
2,7:25,1,10,ATL 20,7,21,Devonta Freeman middle for -2 yards (tackle by Nick Hayden),0.280,-0.630
2,6:54,2,12,ATL 18,7,21,Matt Ryan pass complete short middle to Jacob Tamme for 8 yards (tackle by Anthony Hitchens),-0.630,-0.160
2,6:20,3,4,ATL 26,7,21,Matt Ryan pass incomplete short middle intended for Leonard Hankerson (defended by Tyler Patmon),-0.160,-1.630
2,6:15,4,4,ATL 26,7,21,"Matthew Bosher punts 59 yards, returned by Lance Dunbar for 4 yards (tackle by Jalen Collins)",-1.630,-0.150
2,6:03,1,10,DAL 19,7,21,Brandon Weeden pass incomplete short left intended for Jason Witten is intercepted by William Moore at DAL-34 and returned for 11 yards,0.150,-4.040
2,5:50,1,10,DAL 23,7,21,Devonta Freeman left end for 5 yards (tackle by Sean Lee and Barry Church),4.040,4.210
2,5:04,2,5,DAL 18,7,21,Matt Ryan pass complete short left to Devonta Freeman for 4 yards (tackle by Barry Church),4.210,4.280
2,4:22,3,1,DAL 14,7,21,Devonta Freeman middle for 7 yards (tackle by Sean Lee),4.280,5.600
2,3:44,1,7,DAL 7,7,21,Devonta Freeman right tackle for 1 yard (tackle by Barry Church),5.600,4.950
2,3:09,2,6,DAL 6,7,21,"Matt Ryan pass incomplete short middle intended for Levine Toilolo. Penalty on Barry Church: Defensive Holding, 3 yards (no play)",4.950,6.510
2,3:04,1,3,DAL 3,7,21,Devonta Freeman left tackle for 1 yard (tackle by Nick Hayden),6.510,5.720
2,2:28,2,2,DAL 2,7,21,Matt Ryan pass incomplete short middle intended for Julio Jones (defended by J.J. Wilcox),5.720,4.950
2,2:23,3,2,DAL 2,13,21,"Devonta Freeman middle for 2 yards, touchdown",4.950,7.000
2,2:23,,,DAL 2,14,21,Matt Bryant kicks extra point good,0.000,0.000
2,2:23,,,ATL 35,14,21,"Matthew Bosher kicks off 74 yards, touchback",0.000,-0.280
2,2:18,1,10,DAL 20,14,21,"Brandon Weeden pass complete short left to Cole Beasley for 15 yards (tackle by Ricardo Allen). Penalty on Ricardo Allen: Unnecessary Roughness, 15 yards",0.280,2.260
2,2:00,1,10,,14,21,Lance Dunbar middle for 5 yards (tackle by William Moore),2.260,2.390
2,1:37,2,5,ATL 45,14,21,Brandon Weeden pass complete short middle to Jason Witten for 7 yards (tackle by Justin Durant),2.390,3.050
2,1:08,1,10,ATL 38,14,21,Brandon Weeden pass complete short middle to Lance Dunbar for 15 yards (tackle by Paul Worrilow),3.050,3.050
2,0:58,1,10,ATL 38,14,21,Timeout #1 by Dallas Cowboys,3.050,4.040
2,0:58,1,10,ATL 23,14,21,Brandon Weeden pass complete short middle to Lance Dunbar for 22 yards (tackle by Ricardo Allen and Phillip Adams),4.040,4.040
2,0:46,1,10,ATL 23,14,21,Timeout #2 by Dallas Cowboys,4.040,6.970
2,0:46,1,1,ATL 1,14,27,"Joseph Randle middle for 1 yard, touchdown",6.970,7.000
2,0:46,,,ATL 1,14,28,Dan Bailey kicks extra point good,0.000,0.000
2,0:46,,,DAL 35,14,28,"Dan Bailey kicks off 74 yards, touchback",0.000,-0.280
2,0:40,1,10,ATL 20,14,28,Matt Ryan pass complete short middle to Devonta Freeman for 7 yards (tackle by Byron Jones),0.280,0.280
2,0:34,1,10,ATL 20,14,28,Timeout #1 by Atlanta Falcons,0.280,0.680
2,0:34,2,3,ATL 27,14,28,Matt Ryan pass complete short middle to Leonard Hankerson for 15 yards (tackle by Byron Jones),0.680,0.680
2,0:28,2,3,ATL 27,14,28,Timeout #2 by Atlanta Falcons,0.680,1.730
2,0:28,1,10,ATL 42,14,28,Matt Ryan pass complete short middle to Devonta Freeman for 35 yards (tackle by Brandon Carr),1.730,1.730
2,0:17,1,10,ATL 42,14,28,Timeout #3 by Atlanta Falcons,1.730,4.040
2,0:17,1,10,DAL 23,14,28,Matt Ryan pass complete short right to Leonard Hankerson for 9 yards,4.040,4.950
2,0:11,2,1,DAL 14,14,28,Matt Ryan pass incomplete,4.950,4.280
2,0:05,3,1,DAL 14,17,28,Matt Bryant 32 yard field goal good,4.280,3.000
Quarter,Time,Down,ToGo,Location,ATL,DAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DAL 35,17,28,"Dan Bailey kicks off 68 yards, returned by Eric Weems for 23 yards (tackle by Kyle Wilber). Penalty on James Stone: Offensive Holding, 10 yards",0.000,-0.380
3,14:52,1,10,ATL 10,17,28,Matt Ryan pass incomplete short middle intended for Julio Jones,-0.380,-0.780
3,14:48,2,10,ATL 10,17,28,Devonta Freeman right end for 7 yards (tackle by Sean Lee and Kyle Wilber),-0.780,-0.600
3,14:25,3,3,ATL 17,17,28,Matt Ryan pass complete short left to Julio Jones for 14 yards,-0.600,1.000
3,14:07,1,10,ATL 31,17,28,Devonta Freeman right end for -5 yards (tackle by Brandon Carr),1.000,-0.220
3,13:27,2,15,ATL 26,17,28,"Matt Ryan pass complete short right to Devonta Freeman for 17 yards. Penalty on Jake Matthews: Offensive Holding, 10 yards (no play)",-0.220,-1.720
3,12:55,2,25,ATL 16,17,28,Matt Ryan pass incomplete short middle intended for Julio Jones (defended by Nick Hayden),-1.720,-2.690
3,12:50,3,25,ATL 16,17,28,Matt Ryan pass incomplete short middle intended for Julio Jones (defended by Nick Hayden),-2.690,-2.390
3,12:46,4,25,ATL 16,17,28,"Matthew Bosher punts 43 yards, returned by Cole Beasley for 12 yards (tackle by Patrick DiMarco)",-2.390,-2.460
3,12:35,1,10,ATL 47,17,28,"Penalty on Jason Witten: False Start, 5 yards (no play)",2.460,2.130
3,12:35,1,15,DAL 48,17,28,Joseph Randle right end for -1 yards (tackle by O'Brien Schofield),2.130,1.100
3,11:55,2,16,DAL 47,17,28,"Brandon Weeden pass incomplete. Penalty on Doug Free: Offensive Holding, 10 yards (no play)",1.100,-0.250
3,11:45,2,26,DAL 37,17,28,Brandon Weeden pass complete short middle to Lance Dunbar for 3 yards (tackle by Justin Durant),-0.250,-0.490
3,11:06,3,23,DAL 40,17,28,Brandon Weeden pass complete short right to Lance Dunbar for 17 yards (tackle by Desmond Trufant),-0.490,0.400
3,10:28,4,6,ATL 43,17,28,"Chris Jones punts 30 yards, fair catch by Eric Weems",0.400,0.320
3,10:20,1,10,ATL 13,17,28,Devonta Freeman right end for 9 yards (tackle by Brandon Carr),-0.320,0.490
3,9:44,2,1,ATL 22,17,28,Matt Ryan pass complete short right to Patrick DiMarco for 4 yards (tackle by Barry Church and Brandon Carr),0.490,0.670
3,9:07,1,10,ATL 26,17,28,Matt Ryan pass complete deep left to Julio Jones for 22 yards (tackle by Brandon Carr),0.670,2.130
3,8:29,1,10,ATL 48,17,28,Devonta Freeman left tackle for 7 yards (tackle by Barry Church and Andrew Gachkar),2.130,2.530
3,8:01,2,3,DAL 45,17,28,Devonta Freeman right end for no gain (tackle by Anthony Hitchens),2.530,1.820
3,7:16,3,3,DAL 45,23,28,"Matt Ryan pass complete deep right to Julio Jones for 45 yards, touchdown",1.820,7.000
3,7:16,3,,DAL 45,25,28,"Two Point Attempt: Matt Ryan pass complete to Levine Toilolo, conversion succeeds",1.820,1.000
3,7:16,,,ATL 35,25,28,"Matthew Bosher kicks off 65 yards, touchback",0.000,-0.280
3,7:05,1,10,DAL 20,25,28,Joseph Randle right tackle for -4 yards (tackle by Paul Soliai),0.280,-0.940
3,6:22,2,14,DAL 16,25,28,Brandon Weeden pass incomplete short middle intended for Terrance Williams,-0.940,-1.690
3,6:14,3,14,DAL 16,25,28,"Brandon Weeden pass complete short middle to Lance Dunbar for 5 yards (tackle by Justin Durant). Penalty on Adrian Clayborn: Roughing the Passer, 15 yards (no play)",-1.690,1.000
3,5:54,1,10,DAL 31,25,28,Joseph Randle middle for 2 yards (tackle by William Moore),1.000,0.730
3,5:11,2,8,DAL 33,25,28,Brandon Weeden pass complete short left to Jason Witten for 12 yards (tackle by William Moore),0.730,1.930
3,4:39,1,10,DAL 45,25,28,Joseph Randle right end for -2 yards (tackle by Nathan Stupar),1.930,1.110
3,3:51,2,12,DAL 43,25,28,Brandon Weeden pass incomplete deep right intended for Jason Witten,1.110,0.430
3,3:46,3,12,DAL 43,25,28,Brandon Weeden pass complete short middle to Lance Dunbar for 6 yards (tackle by Ricardo Allen),0.430,-0.130
3,3:10,4,6,DAL 49,25,28,"Chris Jones punts 40 yards, fair catch by Eric Weems",-0.130,0.370
3,3:09,1,10,ATL 11,25,28,Devonta Freeman right guard for 16 yards (tackle by J.J. Wilcox),-0.370,0.740
3,2:26,1,10,ATL 27,25,28,Matt Ryan pass complete short left to Julio Jones for 15 yards (tackle by Morris Claiborne),0.740,1.730
3,1:47,1,10,ATL 42,25,28,Devonta Freeman left tackle for 3 yards (tackle by Demarcus Lawrence and Kyle Wilber),1.730,1.590
3,1:05,2,7,ATL 45,25,28,Devonta Freeman left tackle for 1 yard (tackle by Demarcus Lawrence),1.590,1.030
3,0:26,3,6,ATL 46,25,28,Matt Ryan middle for 18 yards (tackle by Sean Lee),1.030,3.180
Quarter,Time,Down,ToGo,Location,ATL,DAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,DAL 36,25,28,Devonta Freeman left tackle for 3 yards (tackle by Sean Lee),3.180,3.040
4,14:17,2,7,DAL 33,25,28,Matt Ryan pass complete short middle to Julio Jones for 14 yards (tackle by Brandon Carr),3.040,4.310
4,13:38,1,10,DAL 19,25,28,Matt Ryan pass complete short right to Devonta Freeman for no gain,4.310,3.750
4,12:55,2,10,DAL 19,25,28,Matt Ryan pass complete short right to Julio Jones for 6 yards (tackle by Brandon Carr),3.750,3.750
4,12:10,2,10,DAL 19,25,28,Timeout #1 by Dallas Cowboys,3.750,3.960
4,12:10,3,4,DAL 13,25,28,Matt Ryan pass complete short right to Nick Williams for 6 yards (tackle by Byron Jones),3.960,5.600
4,11:30,1,7,DAL 7,31,28,"Devonta Freeman middle for 7 yards, touchdown",5.600,7.000
4,11:30,,,DAL 7,32,28,Matt Bryant kicks extra point good,0.000,0.000
4,11:30,,,ATL 35,32,28,"Matthew Bosher kicks off 74 yards, touchback",0.000,-0.280
4,11:25,1,10,DAL 20,32,28,Darren McFadden left guard for 1 yard (tackle by Justin Durant),0.280,-0.130
4,10:42,2,9,DAL 21,32,28,Brandon Weeden pass complete short right to Cole Beasley for 6 yards (tackle by Phillip Adams),-0.130,-0.030
4,10:04,3,3,DAL 27,32,28,Brandon Weeden sacked by Vic Beasley for -9 yards,-0.030,-2.240
4,9:26,4,12,DAL 18,32,28,"Chris Jones punts 44 yards, fair catch by Eric Weems",-2.240,-1.470
4,9:18,1,10,ATL 38,32,28,Devonta Freeman left end for 4 yards (tackle by Anthony Hitchens),1.470,1.460
4,8:51,2,6,ATL 42,32,28,Devonta Freeman right end for 17 yards (tackle by Sean Lee),1.460,2.850
4,8:07,1,10,DAL 41,32,28,Matt Ryan pass incomplete short middle intended for Leonard Hankerson,2.850,2.310
4,8:02,2,10,DAL 41,32,28,Matt Ryan pass complete short middle to Julio Jones for 9 yards (tackle by J.J. Wilcox),2.310,2.810
4,7:20,3,1,DAL 32,32,28,Devonta Freeman middle for 5 yards (tackle by Sean Lee),2.810,3.780
4,6:43,1,10,DAL 27,32,28,Devonta Freeman left end for 1 yard (tackle by Jack Crawford and Anthony Hitchens),3.780,3.370
4,6:01,2,9,DAL 26,32,28,Matt Ryan pass complete short right to Levine Toilolo for 6 yards (tackle by Anthony Hitchens),3.370,3.470
4,5:20,3,3,DAL 20,32,28,Matt Ryan pass complete short left to Julio Jones for 10 yards (tackle by Morris Claiborne),3.470,4.910
4,4:39,1,10,DAL 10,32,28,Devonta Freeman left end for 5 yards (tackle by Nick Hayden),4.910,5.150
4,3:52,2,5,DAL 5,32,28,Devonta Freeman middle for 3 yards (tackle by Sean Lee and Anthony Hitchens),5.150,4.950
4,3:09,3,2,DAL 2,38,28,"Matt Ryan pass complete short right to Julio Jones for 2 yards, touchdown",4.950,7.000
4,3:09,,,DAL 2,39,28,Matt Bryant kicks extra point good,0.000,0.000
4,,,,ATL 35,39,28,"Matthew Bosher kicks off 73 yards, returned by Lance Dunbar for 28 yards (tackle by Robert Alford)",,
4,2:59,1,10,DAL 20,39,28,Brandon Weeden pass complete short middle to Jason Witten for 9 yards (tackle by Justin Durant),0.280,0.950
4,2:39,2,1,DAL 29,39,28,Brandon Weeden pass complete short left to Lance Dunbar for 6 yards (tackle by Justin Durant),0.950,1.270
4,2:17,1,10,DAL 35,39,28,Brandon Weeden pass complete short left to Lance Dunbar for 3 yards (tackle by Justin Durant),1.270,1.130
4,2:00,2,7,DAL 38,39,28,Brandon Weeden pass complete short middle to Lance Dunbar for 6 yards (tackle by Paul Worrilow),1.130,1.220
4,1:41,3,1,DAL 44,39,28,Brandon Weeden sacked by Adrian Clayborn for -3 yards,1.220,1.220
4,1:34,3,1,DAL 44,39,28,Timeout #2 by Dallas Cowboys,1.220,-0.650
4,1:34,4,4,DAL 41,39,28,Brandon Weeden pass incomplete short middle intended for Terrance Williams,-0.650,-2.850
4,1:29,1,10,DAL 41,39,28,Devonta Freeman left end for no gain (tackle by Morris Claiborne),2.850,2.850
4,1:24,1,10,DAL 41,39,28,Timeout #3 by Dallas Cowboys,2.850,2.310
4,1:24,2,10,DAL 41,39,28,Devonta Freeman left end for 6 yards (tackle by Kyle Wilber),2.310,2.410
4,0:34,3,4,DAL 35,39,28,Matt Ryan kneels for -1 yards,2.410,0.880
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
