Quarter,Time,Tm,Detail,DET,CLE
2.0,14:52,Browns,Jarvis Landry 16 yard rush (Chase McLaughlin kick),0,7
,1:10,Browns,Nick Chubb 5 yard pass from Baker Mayfield (Chase McLaughlin kick failed),0,13
3.0,1:55,Lions,D'Andre Swift 57 yard rush (Aldrick Rosas kick),7,13
4.0,9:07,Lions,Aldrick Rosas 43 yard field goal,10,13
