Quarter,Time,Down,ToGo,Location,DET,CLE,Detail,EPB,EPA
1,4:46,1,10,CLE 16,0,0,Nick Chubb left guard for 1 yard (tackle by Austin Bryant),,
1,4:04,2,9,CLE 17,0,0,Baker Mayfield pass complete short right to Nick Chubb for 9 yards (tackle by Tracy Walker),,
1,3:24,1,10,CLE 26,0,0,David Njoku left end for 1 yard (tackle by Derrick Barnes),,
1,2:38,2,9,CLE 27,0,0,Nick Chubb left tackle for 12 yards (tackle by Tracy Walker),,
1,1:58,1,10,CLE 39,0,0,Baker Mayfield scrambles left end for 4 yards (tackle by Amani Oruwariye),,
1,1:21,2,6,CLE 43,0,0,Baker Mayfield pass complete deep right to David Njoku for 21 yards (tackle by Dean Marlowe),,
1,0:36,1,10,DET 36,0,0,Baker Mayfield pass complete short right to Austin Hooper for 20 yards (tackle by Tracy Walker and Derrick Barnes),,
Quarter,Time,Down,ToGo,Location,DET,CLE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DET 16,0,6,"Jarvis Landry up the middle for 16 yards, touchdown",,
2,14:52,,,DET 15,0,7,Chase McLaughlin kicks extra point good,,
2,14:52,,,CLE 35,0,7,"Chase McLaughlin kicks off 54 yards, returned by Godwin Igwebuike for 13 yards (tackle by Herb Miller)",,
2,14:48,1,10,DET 24,0,7,Tim Boyle pass incomplete short right intended for Jason Cabinda,,
2,14:43,2,10,DET 24,0,7,D'Andre Swift right guard for 3 yards (tackle by Jadeveon Clowney),,
2,14:02,3,7,DET 27,0,7,Tim Boyle pass incomplete short right intended for T.J. Hockenson (defended by Malik Jackson),,
2,13:57,4,7,DET 27,0,7,"Jack Fox punts 40 yards, returned by Demetric Felton for no gain, recovered by Demetric Felton at CLE-35",,
2,13:48,1,10,CLE 35,0,7,Demetric Felton left guard for 1 yard (tackle by Jalen Reeves-Maybin and Alim McNeill),,
2,13:09,2,9,CLE 36,0,7,Baker Mayfield pass incomplete deep right intended for Rashard Higgins,,
2,13:05,3,9,CLE 36,0,7,"Baker Mayfield pass incomplete intended for Jarvis Landry. Penalty on Austin Bryant: Defensive Offside, 5 yards (declined) . Penalty on AJ Parker: Defensive Pass Interference, 14 yards (accepted) (no play)",,
2,13:00,1,10,CLE 50,0,7,Demetric Felton right end for 1 yard (tackle by Jerry Jacobs),,
2,12:16,2,9,DET 49,0,7,D'Ernest Johnson right tackle for 5 yards (tackle by Charles Harris and Alex Anzalone),,
2,11:42,3,4,DET 44,0,7,D'Ernest Johnson left tackle for 13 yards (tackle by Tracy Walker and Michael Brockers),,
2,10:57,1,10,DET 31,0,7,Baker Mayfield pass incomplete deep right intended for Austin Hooper,,
2,10:52,2,10,DET 31,0,7,Baker Mayfield pass complete short right to Jarvis Landry for 3 yards (tackle by AJ Parker),,
2,10:17,3,7,DET 28,0,7,Baker Mayfield pass incomplete short right intended for Rashard Higgins (defended by Jerry Jacobs),,
2,10:13,4,7,DET 28,0,7,Chase McLaughlin 46 yard field goal no good,,
2,10:09,1,10,DET 36,0,7,"Penalty on Tommy Togiai: Neutral Zone Infraction, 5 yards (accepted) (no play)",,
2,10:09,1,5,DET 41,0,7,Jamaal Williams right guard for -1 yards (tackle by Grant Delpit),,
2,9:33,2,6,DET 40,0,7,Jamaal Williams right guard for 5 yards (tackle by Anthony Walker),,
2,8:58,3,1,DET 45,0,7,Jason Cabinda right guard for no gain (tackle by Porter Gustin and Anthony Walker),,
2,8:17,4,1,DET 45,0,7,"Jack Fox punts 43 yards, returned by Demetric Felton for 12 yards (tackle by C.J. Moore and Jalen Reeves-Maybin)",,
2,8:04,1,10,CLE 24,0,7,"Baker Mayfield pass incomplete deep right intended for Harrison Bryant. Penalty on Tracy Walker: Defensive Holding, 5 yards (accepted) (no play)",,
2,7:58,1,10,CLE 29,0,7,"Nick Chubb for no gain (tackle by Alex Anzalone and Charles Harris). Penalty on J.C. Tretter: Offensive Holding, 10 yards (accepted) (no play)",,
2,7:32,1,20,CLE 19,0,7,Baker Mayfield pass complete short left to Austin Hooper for 7 yards (tackle by Jalen Reeves-Maybin),,
2,6:48,2,13,CLE 26,0,7,Baker Mayfield pass incomplete deep right intended for Jarvis Landry,,
2,6:44,3,13,CLE 26,0,7,Baker Mayfield pass complete deep left to Rashard Higgins for 17 yards,,
2,6:02,1,10,CLE 43,0,7,Nick Chubb left tackle for 2 yards (tackle by Jalen Reeves-Maybin and Charles Harris),,
2,5:18,2,8,CLE 45,0,7,Baker Mayfield pass complete short left to Austin Hooper for 6 yards (tackle by Will Harris),,
2,4:56,3,2,DET 49,0,7,Demetric Felton right guard for no gain (tackle by Charles Harris and Austin Bryant),,
2,4:08,,,,,,Timeout #1 by Cleveland Browns,,
2,4:08,4,2,DET 49,0,7,"Baker Mayfield pass incomplete short left intended for Jarvis Landry. Penalty on Amani Oruwariye: Illegal Use of Hands / Defense, 4 yards (accepted) (no play)",,
2,4:05,1,10,DET 45,0,7,Nick Chubb left end for 6 yards (tackle by Amani Oruwariye),,
2,3:23,2,5,DET 39,0,7,Baker Mayfield pass complete deep right to Austin Hooper for 20 yards (tackle by Amani Oruwariye),,
2,2:38,1,10,DET 19,0,7,Baker Mayfield pass complete short right to Jarvis Landry for 3 yards (tackle by Jalen Reeves-Maybin),,
2,2:00,2,7,DET 16,0,7,Nick Chubb left tackle for 2 yards (tackle by Alex Anzalone and Will Harris),,
2,1:18,3,5,DET 14,0,7,"Baker Mayfield pass incomplete short left intended for Rashard Higgins. Penalty on Amani Oruwariye: Defensive Pass Interference, 9 yards (accepted) (no play)",,
2,1:14,1,5,DET 5,0,13,"Baker Mayfield pass complete short left to Nick Chubb for 5 yards, touchdown",,
2,1:10,,,DET 15,0,13,Chase McLaughlin kicks extra point blocked blocked by Levi Onwuzurike,,
2,1:10,,,CLE 35,0,13,"Chase McLaughlin kicks off 65 yards, returned by Godwin Igwebuike for 22 yards (tackle by Tony Fields and Grant Delpit)",,
2,1:05,1,10,DET 22,0,13,Tim Boyle pass complete short left to D'Andre Swift for -1 yards (tackle by Jeremiah Owusu-Koramoah),,
2,0:43,2,11,DET 21,0,13,Tim Boyle pass complete short right to T.J. Hockenson for 5 yards (tackle by Anthony Walker),,
2,0:37,,,,,,Timeout #1 by Detroit Lions,,
2,0:37,3,6,DET 26,0,13,"Penalty on Myles Garrett: Neutral Zone Infraction, 5 yards (accepted) (no play)",,
2,0:37,3,1,DET 31,0,13,Tim Boyle pass complete short left to Amon-Ra St. Brown for 3 yards (tackle by Greg Newsome),,
2,0:32,,,,,,Timeout #2 by Detroit Lions,,
2,0:32,1,10,DET 34,0,13,Tim Boyle pass incomplete short right intended for Josh Reynolds,,
2,0:28,2,10,DET 34,0,13,"Tim Boyle pass incomplete deep left intended for Josh Reynolds. Penalty on Malik McDowell: Roughing the Passer, 15 yards (accepted) (no play)",,
2,0:24,1,10,DET 49,0,13,Tim Boyle pass incomplete short middle intended for T.J. Hockenson,,
2,0:20,2,10,DET 49,0,13,Tim Boyle pass complete short left to D'Andre Swift for 2 yards (tackle by John Johnson),,
2,0:09,,,,,,Timeout #3 by Detroit Lions,,
2,0:09,,,,,,Timeout #2 by Cleveland Browns,,
2,0:09,3,8,CLE 49,0,13,Tim Boyle pass complete short right to T.J. Hockenson for 9 yards (tackle by Malcolm Smith),,
Quarter,Time,Down,ToGo,Location,DET,CLE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CLE 35,0,13,"Chase McLaughlin kicks off 64 yards, returned by Godwin Igwebuike for 23 yards (tackle by Joe Jackson and Ja'Marcus Bradley)",,
3,14:53,1,10,DET 24,0,13,D'Andre Swift left guard for 12 yards (tackle by John Johnson and Anthony Walker),,
3,14:19,1,10,DET 36,0,13,D'Andre Swift right guard for 4 yards (tackle by Malcolm Smith and Grant Delpit),,
3,13:38,2,6,DET 40,0,13,Tim Boyle pass complete short left to Amon-Ra St. Brown for -1 yards (tackle by John Johnson),,
3,12:44,3,7,DET 39,0,13,Tim Boyle pass incomplete short middle intended for Kalif Raymond,,
3,12:30,4,7,DET 39,0,13,"Jack Fox punts 60 yards downed by KhaDarel Hodge Replay Assistant challenged the touchback ruling, and the original play was overturned. Jack Fox punts 61 yards, touchback.",,
3,12:30,1,10,CLE 20,0,13,Baker Mayfield pass complete short right to Jarvis Landry for 7 yards (tackle by Jerry Jacobs and AJ Parker),,
3,11:56,2,3,CLE 27,0,13,Nick Chubb left tackle for 5 yards (tackle by Jalen Reeves-Maybin and Michael Brockers),,
3,11:14,1,10,CLE 32,0,13,Nick Chubb right tackle for 10 yards (tackle by Tracy Walker),,
3,10:32,1,10,CLE 42,0,13,D'Ernest Johnson left guard for no gain (tackle by Alex Anzalone),,
3,9:47,2,10,CLE 42,0,13,Baker Mayfield pass incomplete short middle intended for Jarvis Landry,,
3,9:44,3,10,CLE 42,0,13,"Baker Mayfield pass complete short middle to David Njoku for no gain (tackle by Tracy Walker). Penalty on Wyatt Teller: Offensive Holding, 10 yards (accepted) (no play)",,
3,9:16,3,20,CLE 32,0,13,Baker Mayfield pass complete short left to Ja'Marcus Bradley for 9 yards (tackle by Will Harris),,
3,8:25,4,11,CLE 41,0,13,Jamie Gillan punts 33 yards downed by Herb Miller,,
3,8:15,1,10,DET 26,0,13,Tim Boyle pass complete short right to Amon-Ra St. Brown for 10 yards (tackle by John Johnson),,
3,7:32,1,10,DET 36,0,13,Tim Boyle pass deep right intended for Josh Reynolds is intercepted by Denzel Ward at CLE-20 and returned for no gain (tackle by Josh Reynolds),,
3,7:24,1,10,CLE 20,0,13,"Penalty on Wyatt Teller: False Start, 5 yards (accepted) (no play)",,
3,7:24,1,15,CLE 15,0,13,Baker Mayfield pass complete deep right to Ja'Marcus Bradley for 37 yards,,
3,6:47,1,10,DET 48,0,13,Nick Chubb right guard for no gain (tackle by John Penisini),,
3,6:04,2,10,DET 48,0,13,Nick Chubb left tackle for 9 yards (tackle by Alex Anzalone and Tracy Walker),,
3,5:17,3,1,DET 39,0,13,"Baker Mayfield pass incomplete deep middle intended for Ja'Marcus Bradley. Penalty on Blake Hance: Offensive Holding, 10 yards (accepted) (no play)",,
3,5:11,3,11,DET 49,0,13,Baker Mayfield sacked by and Austin Bryant for -11 yards and Will Harris for -11 yards,,
3,4:24,4,22,CLE 40,0,13,"Jamie Gillan punts 38 yards, fair catch by Kalif Raymond at DET-22",,
3,4:19,1,10,DET 22,0,13,D'Andre Swift right tackle for 19 yards (tackle by Ronnie Harrison),,
3,3:49,1,10,DET 41,0,13,Jamaal Williams right guard for 2 yards (tackle by Jeremiah Owusu-Koramoah),,
3,3:06,2,8,DET 43,0,13,Tim Boyle pass complete short left to T.J. Hockenson for no gain (tackle by Jeremiah Owusu-Koramoah),,
3,2:05,3,8,DET 43,6,13,"D'Andre Swift right tackle for 57 yards, touchdown",,
3,1:55,,,CLE 15,7,13,Aldrick Rosas kicks extra point good,,
3,1:55,,,DET 35,7,13,"Aldrick Rosas kicks off 66 yards, returned by D'Ernest Johnson for 26 yards (tackle by Jalen Reeves-Maybin)",,
3,1:46,1,10,CLE 25,7,13,Baker Mayfield pass incomplete short left intended for David Njoku,,
3,1:41,2,10,CLE 25,7,13,Baker Mayfield pass incomplete short left intended for Rashard Higgins,,
3,1:31,3,10,CLE 25,7,13,"Baker Mayfield pass incomplete short left intended for Rashard Higgins Penalty on CLE: Illegal Shift, 5 yards (declined)",,
3,1:27,4,10,CLE 25,7,13,"Jamie Gillan punts 52 yards, returned by Kalif Raymond for 17 yards (tackle by John Johnson)",,
3,1:15,1,10,DET 40,7,13,D'Andre Swift right guard for 5 yards (tackle by Ronnie Harrison),,
3,0:37,2,5,DET 45,7,13,D'Andre Swift right guard for 13 yards (tackle by Ronnie Harrison and Grant Delpit),,
Quarter,Time,Down,ToGo,Location,DET,CLE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,CLE 42,7,13,"Penalty on Jonah Jackson: Unsportsmanlike Conduct / Offense, 15 yards (accepted) (no play)",,
4,15:00,1,25,DET 43,7,13,Tim Boyle pass complete short left to T.J. Hockenson for 4 yards (tackle by Malcolm Smith),,
4,14:20,2,21,DET 47,7,13,D'Andre Swift right guard for 7 yards (tackle by Malik Jackson),,
4,13:36,3,14,CLE 46,7,13,Tim Boyle pass complete short left to D'Andre Swift for -1 yards (tackle by Malik Jackson),,
4,13:01,4,15,CLE 47,7,13,Jack Fox punts 32 yards downed by KhaDarel Hodge,,
4,12:54,1,10,CLE 15,7,13,"Nick Chubb for no gain (tackle by Levi Onwuzurike). Penalty on Harrison Bryant: Offensive Holding, 7 yards (accepted) (no play)",,
4,12:46,1,17,CLE 8,7,13,Baker Mayfield scrambles right end for 7 yards (tackle by Amani Oruwariye),,
4,11:42,2,10,CLE 15,7,13,"Nick Chubb right end for 10 yards (tackle by Will Harris). Penalty on Wyatt Teller: Offensive Illegal Block Above the Waist, 10 yards (accepted)",,
4,11:13,2,10,CLE 15,7,13,Baker Mayfield pass incomplete short left intended for Austin Hooper (defended by Levi Onwuzurike),,
4,11:09,2,10,CLE 15,7,13,Baker Mayfield pass deep left (defended by Alex Anzalone) intended for Jarvis Landry is intercepted by AJ Parker at CLE-34 and returned for no gain (tackle by Jarvis Landry),,
4,11:01,1,10,CLE 34,7,13,Tim Boyle pass complete short right to Amon-Ra St. Brown for 6 yards (tackle by Mack Wilson),,
4,10:31,2,4,CLE 28,7,13,D'Andre Swift right guard for 2 yards (tackle by Anthony Walker),,
4,9:53,3,2,CLE 26,7,13,D'Andre Swift right tackle for 1 yard (tackle by Malcolm Smith and Ronnie Harrison),,
4,9:11,4,1,CLE 25,10,13,Aldrick Rosas 43 yard field goal good,,
4,9:07,,,DET 35,10,13,"Aldrick Rosas kicks off 65 yards, touchback.",,
4,9:07,1,10,CLE 25,10,13,Nick Chubb right tackle for 5 yards (tackle by Will Harris),,
4,8:25,2,5,CLE 30,10,13,Nick Chubb right tackle for 3 yards (tackle by Alex Anzalone and Julian Okwara),,
4,7:44,3,2,CLE 33,10,13,Nick Chubb left tackle for 11 yards (tackle by Michael Brockers and Charles Harris),,
4,6:56,1,10,CLE 44,10,13,Nick Chubb right guard for 3 yards (tackle by Levi Onwuzurike and Julian Okwara),,
4,6:08,2,7,CLE 47,10,13,Baker Mayfield pass complete short right to David Njoku for -1 yards (tackle by Tracy Walker),,
4,5:27,3,8,CLE 46,10,13,Baker Mayfield pass incomplete short left intended for David Njoku,,
4,5:23,4,8,CLE 46,10,13,"Jamie Gillan punts 38 yards, fair catch by Kalif Raymond at DET-16",,
4,5:16,1,10,DET 16,10,13,Tim Boyle pass complete short middle to T.J. Hockenson for 24 yards (tackle by John Johnson and Grant Delpit),,
4,4:40,1,10,DET 40,10,13,Jamaal Williams left guard for no gain (tackle by Myles Garrett and Mack Wilson),,
4,4:01,2,10,DET 40,10,13,Tim Boyle pass complete short right to Godwin Igwebuike for -4 yards (tackle by Ronnie Harrison and Malik Jackson),,
4,3:14,3,14,DET 36,10,13,D'Andre Swift right guard for 5 yards (tackle by Anthony Walker and Ronnie Harrison),,
4,2:37,4,9,DET 41,10,13,"Jack Fox punts 59 yards, touchback.",,
4,2:29,1,10,CLE 20,10,13,Nick Chubb right tackle for 3 yards (tackle by Charles Harris and Alim McNeill),,
4,2:22,,,,,,Timeout #1 by Detroit Lions,,
4,2:22,2,7,CLE 23,10,13,Nick Chubb left guard for 4 yards (tackle by Michael Brockers),,
4,2:00,3,3,CLE 27,10,13,Nick Chubb right tackle for 11 yards (tackle by Tracy Walker),,
4,1:54,1,10,CLE 38,10,13,Nick Chubb left tackle for 15 yards (tackle by Will Harris),,
4,1:45,1,10,DET 47,10,13,D'Ernest Johnson right guard for 5 yards (tackle by Austin Bryant),,
4,1:39,,,,,,Timeout #2 by Detroit Lions,,
4,1:39,2,5,DET 42,10,13,D'Ernest Johnson right tackle for 3 yards (tackle by Alex Anzalone),,
4,1:34,,,,,,Timeout #3 by Detroit Lions,,
4,1:34,3,2,DET 39,10,13,Nick Chubb right guard for 3 yards (tackle by Dean Marlowe and Tracy Walker),,
4,0:49,1,10,DET 36,10,13,Baker Mayfield kneels for -1 yards,,
4,0:32,2,11,DET 37,10,13,Baker Mayfield kneels for -1 yards,,
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
