Unnamed: 0,DET,CLE
First Downs,12,22
Rush-Yds-TDs,23-168-1,36-184-1
Cmp-Att-Yd-TD-INT,15-23-77-0-2,15-29-176-1-2
Sacked-Yards,0-0,1-11
Net Pass Yards,77,165
Total Yards,245,349
Fumbles-Lost,0-0,1-0
Turnovers,2,2
Penalties-Yards,7-67,10-82
Third Down Conv.,3-11,5-13
Fourth Down Conv.,0-0,0-0
Time of Possession,25:04,34:56
