Quarter,Time,Tm,Detail,ARI,LAR
1.0,10:09,Cardinals,Jonathan Ward 11 yard pass from Chris Streveler (Mike Nugent kick),7,0
2.0,14:17,Rams,Matt Gay 28 yard field goal,7,3
,5:21,Rams,"Safety, Justin Pugh Offensive Holding in end zone",7,5
,0:20,Rams,Troy Hill 84 yard interception return (Matt Gay kick),7,12
3.0,6:16,Rams,Matt Gay 34 yard field goal,7,15
4.0,14:25,Rams,Matt Gay 27 yard field goal,7,18
