Unnamed: 0,ARI,LAR
First Downs,15,21
Rush-Yds-TDs,18-48-0,30-110-0
Cmp-Att-Yd-TD-INT,19-27-192-1-1,22-38-231-0-1
Sacked-Yards,4-26,2-8
Net Pass Yards,166,223
Total Yards,214,333
Fumbles-Lost,1-0,1-1
Turnovers,1,2
Penalties-Yards,6-38,5-38
Third Down Conv.,2-9,6-15
Fourth Down Conv.,0-0,1-1
Time of Possession,22:09,37:51
