Quarter,Time,Down,ToGo,Location,STL,ARI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss, Cardinals to receive the opening kickoff.",,
1,15:00,,,STL 30,0,0,"Jeff Wilkins kicks off 60 yards, returned by Josh Scobey for 17 yards (tackle by Jamie Duncan)",0.000,0.740
1,14:46,1,10,ARI 27,0,0,Marcel Shipp up the middle for 5 yards (tackle by Grant Wistrom),0.740,0.870
1,14:15,2,5,ARI 32,0,0,Marcel Shipp right tackle for 5 yards (tackle by Ryan Pickett),0.870,1.400
1,13:40,1,10,ARI 37,0,0,Marcel Shipp right end for 8 yards (tackle by Bryce Fisher),1.400,1.940
1,13:11,2,2,ARI 45,0,0,"Jeff Blake pass incomplete is intercepted by Pisa Tinoisamoa at STL-47 and returned for 29 yards (tackle by Anquan Boldin). Penalty on Pisa Tinoisamoa: Taunting, 15 yards",1.940,-2.980
1,13:02,1,10,ARI 39,0,0,Marshall Faulk right end for -1 yards (tackle by Levar Fisher),2.980,2.300
1,12:23,2,11,ARI 40,0,0,Marc Bulger pass complete to Isaac Bruce for 13 yards (tackle by Emmanuel McDaniel),2.300,3.780
1,11:44,1,10,ARI 27,0,0,Marshall Faulk right end for -1 yards (tackle by Ronald McKinnon),3.780,3.100
1,11:01,2,11,ARI 28,0,0,"Marc Bulger pass incomplete intended for Torry Holt. Penalty on Dennis Johnson: Defensive Offside, 5 yards (no play)",3.100,3.770
1,10:53,2,6,ARI 23,0,0,Marc Bulger pass complete to Marshall Faulk for 2 yards (tackle by James Darling),3.770,3.340
1,10:27,3,4,ARI 21,0,0,Marc Bulger pass complete to Isaac Bruce for 10 yards (tackle by James Darling),3.340,4.840
1,9:53,1,10,ARI 11,0,0,Marshall Faulk right end for 10 yards (tackle by Russell Davis),4.840,6.970
1,9:19,,,,0,0,Timeout #1 by St. Louis Rams,0.000,6.970
1,9:17,1,1,ARI 1,6,0,"Marshall Faulk left tackle for 1 yard, touchdown",6.970,7.000
1,,,,ARI 2,7,0,Jeff Wilkins kicks extra point good,0.000,0.000
1,,,,STL 30,7,0,"Jeff Wilkins kicks off 70 yards, returned by Josh Scobey for 34 yards (tackle by Travis Fisher)",0.000,1.200
1,9:06,1,10,ARI 34,7,0,Marcel Shipp right tackle for 2 yards (tackle by Tyoka Jackson),1.200,0.930
1,8:26,2,8,ARI 36,7,0,Jeff Blake pass complete to Anquan Boldin for 4 yards (tackle by Jerametrius Butler),0.930,0.760
1,7:57,3,4,ARI 40,7,0,Jeff Blake pass complete to Anquan Boldin for 16 yards (tackle by Aeneas Williams),0.760,2.650
1,7:19,1,10,STL 44,7,0,Marcel Shipp left tackle for 2 yards (tackle by Grant Wistrom),2.650,2.380
1,6:34,2,8,STL 42,7,0,Jeff Blake pass complete to Freddie Jones for 6 yards (tackle by Robert W. Thomas),2.380,2.480
1,5:56,3,2,STL 36,7,0,Jeff Blake pass incomplete intended for Marcel Shipp,2.480,0.890
1,5:48,4,2,STL 36,7,0,Marcel Shipp right tackle for no gain (tackle by Brian Young),0.890,-1.330
1,5:43,1,10,STL 36,7,0,Marc Bulger pass complete to Brandon Manumaleuna for 16 yards (tackle by Dexter Jackson),1.330,2.390
1,5:14,1,10,ARI 48,7,0,Marc Bulger pass complete to Arlen Harris for -4 yards (tackle by Wendell Bryant),2.390,1.310
1,4:31,2,14,STL 48,7,0,Marc Bulger pass complete to Torry Holt for 38 yards (tackle by David Barrett),1.310,4.650
1,3:44,1,10,ARI 14,13,0,"Marc Bulger pass complete to Isaac Bruce for 14 yards, touchdown",4.650,7.000
1,,,,ARI 2,14,0,Jeff Wilkins kicks extra point good,0.000,0.000
1,,,,STL 30,14,0,"Jeff Wilkins kicks off 65 yards, returned by Josh Scobey for 32 yards (tackle by Scott Shanle)",0.000,1.400
1,3:27,1,10,ARI 37,14,0,Jeff Blake pass incomplete intended for Anquan Boldin,1.400,0.860
1,3:22,2,10,ARI 37,14,0,Jeff Blake right end for 8 yards,0.860,1.220
1,2:47,3,2,ARI 45,14,0,"Penalty on Bryant Johnson: False Start, 5 yards (no play)",1.220,0.560
1,2:26,3,7,ARI 40,14,0,Jeff Blake pass complete to Bryan Gilmore for 10 yards (tackle by Jerametrius Butler),0.560,2.260
1,1:46,1,10,ARI 50,14,0,Marcel Shipp left tackle for 3 yards (tackle by Ryan Pickett),2.260,2.120
1,1:09,2,7,STL 47,14,0,"Penalty on L.J. Shelton: False Start, 5 yards (no play)",2.120,1.440
1,0:48,2,12,ARI 48,14,0,Marcel Shipp right end for 8 yards (tackle by Pisa Tinoisamoa),1.440,1.820
1,0:04,3,4,STL 44,14,0,Jeff Blake pass incomplete intended for Anquan Boldin,1.820,0.330
Quarter,Time,Down,ToGo,Location,STL,ARI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,4,STL 44,14,0,"Scott Player punts 44 yards, touchback",0.330,-0.280
2,14:52,1,10,STL 20,14,0,Marshall Faulk left tackle for 8 yards (tackle by Dennis Johnson),0.280,0.810
2,14:18,2,2,STL 28,14,0,Marshall Faulk right end for 3 yards (tackle by Adrian Wilson and Ronald McKinnon),0.810,1.000
2,13:35,1,10,STL 31,14,0,Marc Bulger sacked by Russell Davis for -9 yards,1.000,-0.760
