Quarter,Time,Tm,Detail,STL,ARI
1,9:15,Rams,Marshall Faulk 1 yard rush (Jeff Wilkins kick),7,0
,3:35,Rams,Isaac Bruce 14 yard pass from Marc Bulger (Jeff Wilkins kick),14,0
2,5:33,Cardinals,Neil Rackers 22 yard field goal,14,3
,1:50,Cardinals,Renaldo Hill 70 yard interception return (Neil Rackers kick),14,10
,0:00,Rams,Jeff Wilkins 29 yard field goal,17,10
3,10:43,Rams,Travis Fisher 57 yard interception return (Jeff Wilkins kick),24,10
,0:00,Cardinals,Anquan Boldin 54 yard pass from Jeff Blake (Neil Rackers kick),24,17
4,11:59,Cardinals,Anquan Boldin 3 yard pass from Jeff Blake (Neil Rackers kick),24,24
,6:05,Cardinals,Neil Rackers 27 yard field goal,24,27
,0:00,Rams,Jeff Wilkins 24 yard field goal,27,27
OT,10:22,Rams,Jeff Wilkins 49 yard field goal,30,27
