Unnamed: 0,NYJ,CIN
First Downs,19,26
Rush-Yds-TDs,26-84-0,41-177-3
Cmp-Att-Yd-TD-INT,20-31-272-3-1,14-21-226-1-1
Sacked-Yards,2-14,1-8
Net Pass Yards,258,218
Total Yards,342,395
Fumbles-Lost,1-1,0-0
Turnovers,2,1
Penalties-Yards,5-62,9-70
Third Down Conv.,2-11,7-10
Fourth Down Conv.,2-2,0-0
Time of Possession,26:06,33:54
