Quarter,Time,Tm,Detail,NYJ,CIN
1.0,10:23,Jets,Laveranues Coles 57 yard pass from Chad Pennington (Mike Nugent kick),7,0
,5:47,Bengals,Shayne Graham 20 yard field goal,7,3
2.0,11:38,Jets,Mike Nugent 24 yard field goal,10,3
,9:11,Jets,Mike Nugent 35 yard field goal,13,3
,2:08,Bengals,Kenny Watson 3 yard rush (Shayne Graham kick),13,10
,0:49,Jets,Laveranues Coles 36 yard pass from Chad Pennington (Mike Nugent kick),20,10
3.0,11:15,Jets,Mike Nugent 43 yard field goal,23,10
,3:41,Bengals,T.J. Houshmandzadeh 3 yard pass from Carson Palmer (Shayne Graham kick),23,17
4.0,13:31,Bengals,Kenny Watson 1 yard rush (Shayne Graham kick),23,24
,6:09,Bengals,Kenny Watson 2 yard rush (Shayne Graham kick),23,31
,0:37,Bengals,Johnathan Joseph 42 yard interception return (Shayne Graham kick),23,38
,0:00,Jets,Jerricho Cotchery 32 yard pass from Chad Pennington (Leon Washington pass from Chad Pennington),31,38
