Quarter,Time,Down,ToGo,Location,MIN,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss and deferred, Vikings to receive the opening kickoff.",,
1,15:00,,,PHI 35,0,0,"Jake Elliott kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,MIN 25,0,0,Latavius Murray middle for 6 yards (tackle by Fletcher Cox),0.610,0.870
1,14:24,2,4,MIN 31,0,0,Latavius Murray left tackle for 2 yards (tackle by Jalen Mills),0.870,0.430
1,13:46,3,2,MIN 33,0,0,Jerick McKinnon middle for 2 yards (tackle by Nigel Bradham),0.430,1.270
1,13:02,1,10,MIN 35,0,0,Case Keenum pass complete short left to Latavius Murray for 11 yards (tackle by Mychal Kendricks),1.270,1.990
1,12:28,1,10,MIN 46,0,0,Latavius Murray left end for 3 yards (tackle by Najee Goode),1.990,1.860
1,11:55,2,7,MIN 49,0,0,Case Keenum pass complete short left to Adam Thielen for 12 yards (tackle by Ronald Darby),1.860,2.980
1,11:21,1,10,PHI 39,0,0,Jerick McKinnon left end for 10 yards (tackle by Ronald Darby),2.980,3.640
1,10:59,1,10,PHI 29,0,0,Jerick McKinnon left end for 4 yards (tackle by Ronald Darby),3.640,3.640
1,10:20,2,6,PHI 25,6,0,"Case Keenum pass complete deep left to Kyle Rudolph for 25 yards, touchdown",3.640,7.000
1,10:14,,,PHI 15,7,0,Kai Forbath kicks extra point good,0.000,0.000
1,10:14,,,MIN 35,7,0,"Kai Forbath kicks off 65 yards, touchback",0.000,-0.610
1,10:14,1,10,PHI 25,7,0,Nick Foles pass complete short right to Nelson Agholor for 11 yards (tackle by Terence Newman),0.610,1.330
1,9:36,1,10,PHI 36,7,0,Nick Foles pass incomplete deep right intended for Torrey Smith (defended by Trae Waynes),1.330,0.790
1,9:28,2,10,PHI 36,7,0,Nick Foles pass complete short left to Nelson Agholor for 6 yards (tackle by Andrew Sendejo),0.790,0.890
1,8:46,3,4,PHI 42,7,0,Nick Foles pass incomplete deep right intended for Trey Burton,0.890,-0.590
1,8:40,4,4,PHI 42,7,0,"Donnie Jones punts 44 yards, fair catch by Marcus Sherels. Penalty on Shelton Gibson: Fair Catch Interference, 15 yards",-0.590,-0.870
1,8:29,1,10,MIN 29,7,0,Case Keenum pass incomplete short left intended for Stefon Diggs (defended by Ronald Darby),0.870,0.330
1,8:24,2,10,MIN 29,7,0,Jerick McKinnon left tackle for no gain (tackle by Fletcher Cox),0.330,-0.360
1,7:45,3,10,MIN 29,7,0,Case Keenum pass complete short left to Stefon Diggs for 12 yards,-0.360,1.660
1,7:15,1,10,MIN 41,7,0,Latavius Murray left guard for 2 yards (tackle by Fletcher Cox),1.660,1.390
1,6:47,2,8,MIN 43,7,0,Case Keenum pass incomplete short left intended for Stefon Diggs,1.390,0.700
1,6:42,3,8,MIN 43,7,6,"Case Keenum pass incomplete short right intended for Adam Thielen is intercepted by Patrick Robinson at 50 and returned for 50 yards, touchdown",0.700,-7.000
1,,,,MIN 15,7,7,Jake Elliott kicks extra point good,,
1,6:26,,,PHI 35,7,7,"Jake Elliott kicks off 65 yards, touchback",0.000,-0.610
1,6:26,1,10,MIN 25,7,7,Latavius Murray right tackle for 4 yards (tackle by Malcolm Jenkins and Najee Goode),0.610,0.600
1,5:50,2,6,MIN 29,7,7,Case Keenum pass incomplete short right intended for Kyle Rudolph,0.600,-0.100
1,5:47,3,6,MIN 29,7,7,Case Keenum pass complete short right to Stefon Diggs for 1 yard (tackle by Malcolm Jenkins),-0.100,-1.370
1,5:05,4,5,MIN 30,7,7,"Ryan Quigley punts 45 yards, fair catch by Kenjon Barner",-1.370,-0.610
1,4:57,1,10,PHI 25,7,7,Jay Ajayi left end for 13 yards (tackle by Danielle Hunter),0.610,1.470
1,4:15,1,10,PHI 38,7,7,Jay Ajayi middle for 7 yards (tackle by Tom Johnson),1.470,1.870
1,3:35,2,3,PHI 45,7,7,Nick Foles pass complete short right to Alshon Jeffery for 8 yards (tackle by Xavier Rhodes),1.870,2.460
1,2:57,1,10,MIN 47,7,7,Nelson Agholor left end for no gain (tackle by Anthony Barr),2.460,1.910
1,2:26,2,10,MIN 47,7,7,Nick Foles pass incomplete short middle intended for Brent Celek (defended by Eric Kendricks),1.910,1.220
1,2:18,3,10,MIN 47,7,7,Nick Foles pass complete short middle to Zach Ertz for 11 yards (tackle by Mackensie Alexander),1.220,3.180
1,1:36,1,10,MIN 36,7,7,Nick Foles pass complete short middle to Zach Ertz for 8 yards (tackle by Harrison Smith),3.180,3.720
1,1:03,2,2,MIN 28,7,7,LeGarrette Blount right tackle for 2 yards (tackle by Anthony Barr and Danielle Hunter),3.720,3.840
1,0:17,1,10,MIN 26,7,7,Nick Foles pass complete short right to Alshon Jeffery for 9 yards (tackle by Xavier Rhodes),3.840,4.640
Quarter,Time,Down,ToGo,Location,MIN,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,1,MIN 17,7,7,Jay Ajayi middle for no gain (tackle by Tom Johnson),4.640,3.950
2,14:15,3,1,MIN 17,7,7,Nick Foles pass complete short right to Zach Ertz for 6 yards (tackle by Harrison Smith),3.950,4.840
2,13:42,1,10,MIN 11,7,13,"LeGarrette Blount right tackle for 11 yards, touchdown",4.840,7.000
2,13:37,,,MIN 15,7,14,Jake Elliott kicks extra point good,0.000,0.000
2,13:37,,,PHI 35,7,14,"Jake Elliott kicks off 65 yards, touchback",0.000,-0.610
2,13:37,1,10,MIN 25,7,14,Latavius Murray right end for 1 yard (tackle by Mychal Kendricks and Vinny Curry),0.610,0.200
2,12:56,2,9,MIN 26,7,14,Case Keenum pass complete short right to Stefon Diggs for 7 yards (tackle by Jalen Mills),0.200,0.430
2,12:11,3,2,MIN 33,7,14,Case Keenum pass incomplete short left intended for Jerick McKinnon,0.430,-1.180
2,12:07,4,2,MIN 33,7,14,"Ryan Quigley punts 47 yards, returned by Kenjon Barner for 10 yards (tackle by Anthony Harris)",-1.180,-0.940
2,11:54,1,10,PHI 30,7,14,LeGarrette Blount middle for 2 yards (tackle by Linval Joseph),0.940,0.660
2,11:15,2,8,PHI 32,7,14,Nick Foles pass incomplete short right intended for Nelson Agholor,0.660,-0.030
2,11:12,3,8,PHI 32,7,14,Nick Foles pass complete short right to Zach Ertz for 15 yards (tackle by Andrew Sendejo),-0.030,2.060
2,10:38,1,10,PHI 47,7,14,Jay Ajayi middle for 3 yards (tackle by Andrew Sendejo),2.060,1.920
2,10:10,2,7,,7,14,Nick Foles pass incomplete (defended by Eric Kendricks),1.920,1.220
2,10:05,3,7,,7,14,Nick Foles sacked by Danielle Hunter for -6 yards,1.220,-0.460
2,9:27,4,13,PHI 44,7,14,"Donnie Jones punts 41 yards, fair catch by Marcus Sherels",-0.460,0.220
2,9:19,1,10,MIN 15,7,14,Jerick McKinnon left tackle for 2 yards (tackle by Ronald Darby),-0.220,-0.440
2,8:44,2,8,MIN 17,7,14,Case Keenum pass complete deep right to Stefon Diggs for 22 yards (tackle by Malcolm Jenkins),-0.440,1.530
2,8:03,1,10,MIN 39,7,14,Case Keenum pass incomplete,1.530,0.990
2,7:54,2,10,MIN 39,7,14,Jarius Wright left end for 4 yards (tackle by Mychal Kendricks),0.990,0.830
2,7:08,3,6,MIN 43,7,14,Case Keenum pass complete short right to Stefon Diggs for 8 yards (tackle by Jalen Mills),0.830,2.320
2,6:36,1,10,PHI 49,7,14,Case Keenum pass complete short left to Adam Thielen for 12 yards (tackle by Ronald Darby),2.320,3.120
2,5:57,1,10,PHI 37,7,14,Jerick McKinnon left tackle for 3 yards (tackle by Chris Long),3.120,2.980
2,5:21,2,7,PHI 34,7,14,Case Keenum pass complete short left to Jerick McKinnon for 13 yards (tackle by Chris Long),2.980,4.170
2,4:49,1,10,PHI 21,7,14,Jerick McKinnon left end for 1 yard (tackle by Mychal Kendricks and Beau Allen),4.170,3.760
2,4:07,2,9,PHI 20,7,14,Case Keenum pass complete short left to Jerick McKinnon for 4 yards (tackle by Mychal Kendricks),3.760,3.630
2,3:25,3,5,PHI 16,7,14,"Case Keenum sacked by Derek Barnett for -9 yards. Case Keenum fumbles (forced by Derek Barnett), recovered by Chris Long at PHI-24 (tackle by Rashod Hill)",3.630,-0.540
2,3:16,1,10,PHI 24,7,14,Nick Foles pass complete short right to Jay Ajayi for 2 yards (tackle by Mackensie Alexander and Linval Joseph),0.540,0.270
2,2:34,2,8,PHI 26,7,14,LeGarrette Blount left end for 2 yards (tackle by Danielle Hunter),0.270,-0.160
2,2:00,3,6,PHI 28,7,14,Nick Foles pass complete short left to Corey Clement for 8 yards (tackle by Andrew Sendejo),-0.160,1.330
2,1:54,1,10,PHI 36,7,14,Nick Foles pass complete short right to Torrey Smith for 11 yards (tackle by Eric Kendricks),1.330,2.060
2,1:32,1,10,PHI 47,7,14,Nick Foles pass incomplete deep left intended for Torrey Smith,2.060,1.520
