Unnamed: 0,CIN,IND
First Downs,17,20
Rush-Yds-TDs,24-82-0,20-57-1
Cmp-Att-Yd-TD-INT,22-32-200-0-3,26-32-277-3-0
Sacked-Yards,5-30,0-0
Net Pass Yards,170,277
Total Yards,252,334
Fumbles-Lost,2-1,1-1
Turnovers,4,1
Penalties-Yards,3-23,3-21
Third Down Conv.,6-14,4-8
Fourth Down Conv.,0-0,1-1
Time of Possession,32:53,27:07
