Unnamed: 0,ARI,ATL
First Downs,11,33
Rush-Yds-TDs,13-118-1,45-221-2
Cmp-Att-Yd-TD-INT,18-33-164-0-3,21-32-225-3-0
Sacked-Yards,2-15,1-2
Net Pass Yards,149,223
Total Yards,267,444
Fumbles-Lost,1-0,1-1
Turnovers,3,1
Penalties-Yards,10-109,6-75
Third Down Conv.,0-8,11-17
Fourth Down Conv.,0-1,1-2
Time of Possession,20:47,39:13
