Quarter,Time,Tm,Detail,WAS,MIA
2.0,11:34,Redskins,Terry McLaurin 25 yard pass from Case Keenum (Dustin Hopkins kick),7,0
,1:07,Dolphins,Jason Sanders 39 yard field goal,7,3
3.0,9:42,Redskins,Terry McLaurin 33 yard pass from Case Keenum (Dustin Hopkins kick),14,3
,4:15,Redskins,Dustin Hopkins 21 yard field goal,17,3
4.0,10:56,Dolphins,Kalen Ballage 1 yard rush (Jason Sanders kick),17,10
,0:06,Dolphins,DeVante Parker 11 yard pass from Ryan Fitzpatrick (pass failed),17,16
