Quarter,Time,Down,ToGo,Location,WAS,MIA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Dolphins won the coin toss and deferred, Redskins to receive the opening kickoff.",,
1,15:00,,,MIA 35,0,0,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,WAS 25,0,0,Adrian Peterson left tackle for no gain (tackle by Raekwon McMillan),0.610,0.060
1,14:20,2,10,WAS 25,0,0,Adrian Peterson left end for 5 yards (tackle by Eric Rowe and Avery Moss),0.060,0.040
1,13:38,3,5,WAS 30,0,0,Case Keenum pass complete short left to Chris Thompson for 4 yards (tackle by Bobby McCain),0.040,-1.110
1,13:00,4,1,WAS 34,0,0,"Tress Way punts 53 yards, returned by Preston Williams for no gain (tackle by Troy Apke)",-1.110,0.320
1,12:49,1,10,MIA 13,0,0,Mark Walton left tackle for 3 yards (tackle by Cole Holcomb and Montez Sweat),-0.320,-0.440
1,12:11,2,7,MIA 16,0,0,"Josh Rosen pass incomplete short right intended for Preston Williams (defended by Josh Norman). Penalty on Jonathan Bostic: Unnecessary Roughness, 15 yards (no play)",-0.440,1.000
1,12:05,1,10,MIA 31,0,0,Josh Rosen sacked by Matthew Ioannidis for -1 yards,1.000,0.320
1,11:28,2,11,MIA 30,0,0,Josh Rosen pass complete short right to Mark Walton for 5 yards (tackle by Landon Collins and Fabian Moreau),0.320,0.300
1,10:54,3,6,MIA 35,0,0,Josh Rosen sacked by Jonathan Allen for -8 yards,0.300,-1.570
1,10:22,4,14,MIA 27,0,0,"Matt Haack punts 60 yards, returned by Trey Quinn for 15 yards (tackle by Walt Aikens). Penalty on Kelvin Harmon: Illegal Block Above the Waist, 10 yards",-1.570,-0.040
1,10:12,1,10,WAS 18,0,0,Case Keenum pass incomplete short right,0.040,-0.490
1,10:05,2,10,WAS 18,0,0,Case Keenum pass complete short right to Kelvin Harmon for 8 yards (tackle by Eric Rowe),-0.490,-0.140
1,9:22,3,2,WAS 26,0,0,Case Keenum pass incomplete short right intended for Paul Richardson (defended by Eric Rowe),-0.140,-1.630
1,9:17,4,2,WAS 26,0,0,"Tress Way punts 48 yards, fair catch by Preston Williams at MIA-26",-1.630,-0.670
1,9:09,1,10,MIA 26,0,0,Josh Rosen sacked by Landon Collins for -9 yards,0.670,-1.220
1,8:27,2,19,MIA 17,0,0,Josh Rosen pass incomplete short left intended for Preston Williams,-1.220,-2.020
1,8:22,3,19,MIA 17,0,0,Josh Rosen pass complete short left to Mark Walton for 3 yards (tackle by Ryan Anderson),-2.020,-2.030
1,7:46,4,16,MIA 20,0,0,"Matt Haack punts 42 yards, fair catch by Trey Quinn at WAS-38. Penalty on Jimmy Moreland: Offensive Holding, 10 yards",-2.030,-0.810
1,7:39,1,10,WAS 28,0,0,Adrian Peterson up the middle for -1 yards (tackle by Reshad Jones),0.810,0.130
1,7:00,2,11,WAS 27,0,0,Case Keenum pass complete short left to Chris Thompson for 4 yards (tackle by Jerome Baker),0.130,-0.030
1,6:23,3,7,WAS 31,0,0,Case Keenum pass incomplete short right intended for Trey Quinn,-0.030,-1.310
1,6:19,4,7,WAS 31,0,0,"Tress Way punts 43 yards, returned by Preston Williams for 12 yards (tackle by Shaun Dion Hamilton)",-1.310,-1.470
1,6:11,1,10,MIA 38,0,0,Kenyan Drake right guard for 5 yards (tackle by Jonathan Allen),1.470,1.600
1,5:37,2,5,MIA 43,0,0,Josh Rosen pass complete short left to Kenyan Drake for 3 yards (tackle by Fabian Moreau),1.600,1.290
1,5:14,3,2,MIA 46,0,0,Kenyan Drake up the middle for 2 yards (tackle by Da'Ron Payne and Jonathan Bostic),1.290,2.130
1,4:41,1,10,MIA 48,0,0,Josh Rosen sacked by Treyvon Hester for -8 yards,2.130,0.500
1,4:04,2,18,MIA 40,0,0,Josh Rosen pass complete short left to Albert Wilson for no gain (tackle by Quinton Dunbar),0.500,-0.160
1,3:20,3,18,MIA 40,0,0,Josh Rosen pass complete short right to Mike Gesicki for 15 yards (tackle by Jonathan Bostic),-0.160,0.270
1,2:40,4,3,WAS 45,0,0,Kalen Ballage right end for 6 yards (tackle by Jeremy Reaves),0.270,2.980
1,2:13,1,10,WAS 39,0,0,Kenyan Drake right tackle for no gain (tackle by Jonathan Bostic and Ryan Anderson),2.980,2.440
1,1:42,2,10,WAS 39,0,0,Kenyan Drake left guard for 5 yards (tackle by Cole Holcomb),2.440,2.410
1,0:59,3,5,WAS 34,0,0,"Josh Rosen pass complete short right to Albert Wilson for 8 yards. Penalty on Preston Williams: Offensive Pass Interference, 10 yards (no play)",2.410,1.090
1,0:30,3,15,WAS 44,0,0,Josh Rosen pass incomplete deep right intended for Preston Williams,1.090,0.330
1,0:24,4,15,WAS 44,0,0,Matt Haack punts 37 yards downed by Patrick Laird,0.330,0.380
1,0:14,1,10,WAS 7,0,0,Adrian Peterson left guard for 5 yards (tackle by Avery Moss and Vince Biegel),-0.380,-0.420
Quarter,Time,Down,ToGo,Location,WAS,MIA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,WAS 12,0,0,Adrian Peterson right end for 18 yards (tackle by Nik Needham),-0.420,0.940
2,14:18,1,10,WAS 30,0,0,Chris Thompson right end for 8 yards (tackle by Vince Biegel),0.940,1.470
2,13:42,2,2,WAS 38,0,0,Adrian Peterson right tackle for 9 yards (tackle by Reshad Jones and Eric Rowe),1.470,2.060
2,12:58,1,10,WAS 47,0,0,Case Keenum pass incomplete short middle intended for Terry McLaurin (defended by Christian Wilkins),2.060,1.520
2,12:54,2,10,WAS 47,0,0,Adrian Peterson right end for 25 yards (tackle by Reshad Jones),1.520,3.710
2,12:21,1,10,MIA 28,0,0,Adrian Peterson up the middle for 3 yards (tackle by Eric Rowe and Jerome Baker),3.710,3.570
2,11:42,2,7,MIA 25,6,0,"Case Keenum pass complete deep left to Terry McLaurin for 25 yards, touchdown",3.570,7.000
2,11:34,,,MIA 15,7,0,Dustin Hopkins kicks extra point good,0.000,0.000
2,11:34,,,WAS 35,7,0,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
2,11:34,1,10,MIA 25,7,0,Mark Walton up the middle for 11 yards (tackle by Landon Collins),0.610,1.330
2,10:57,1,10,MIA 36,7,0,Mark Walton right tackle for 1 yard (tackle by Jonathan Bostic and Jeremy Reaves),1.330,0.930
2,10:22,2,9,MIA 37,7,0,Josh Rosen pass complete short right to Mark Walton for 16 yards (tackle by Josh Norman),0.930,2.460
2,9:44,1,10,WAS 47,7,0,Kenyan Drake right end for 2 yards (tackle by Cole Holcomb),2.460,2.180
2,9:06,2,8,WAS 45,7,0,Josh Rosen pass incomplete deep middle intended for Mike Gesicki (defended by Landon Collins),2.180,1.490
2,9:00,3,8,WAS 45,7,0,Josh Rosen pass complete short right to Kenyan Drake for 6 yards (tackle by Montae Nicholson and Jonathan Bostic),1.490,0.660
2,8:14,,,,,,Timeout #1 by Washington Redskins,,
2,8:14,4,2,WAS 39,7,0,"Josh Rosen pass complete short right to Nick O'Leary for 3 yards (tackle by Landon Collins). Nick O'Leary fumbles (forced by Landon Collins), recovered by Nick O'Leary at WAS-36",0.660,3.180
2,7:56,1,10,WAS 36,7,0,Josh Rosen pass incomplete short left intended for Mike Gesicki,3.180,2.640
2,7:52,2,10,WAS 36,7,0,Josh Rosen pass short left intended for Preston Williams is intercepted by Quinton Dunbar at WAS-31 and returned for no gain,2.640,-1.000
2,7:47,1,10,WAS 31,7,0,Adrian Peterson right tackle for 3 yards (tackle by Raekwon McMillan and Taco Charlton),1.000,0.870
2,7:05,2,7,WAS 34,7,0,Adrian Peterson right tackle for 4 yards (tackle by Chris Lammons and Taco Charlton),0.870,0.700
2,6:25,3,3,WAS 38,7,0,Case Keenum pass incomplete short middle intended for Paul Richardson (defended by Nik Needham),0.700,-0.850
2,6:20,4,3,WAS 38,7,0,"Tress Way punts 46 yards, fair catch by Preston Williams at MIA-16",-0.850,0.140
2,6:13,1,10,MIA 16,7,0,Josh Rosen pass complete short right to Albert Wilson for 5 yards (tackle by Landon Collins),-0.140,0.150
2,5:36,2,5,MIA 21,7,0,Mark Walton left guard for 14 yards (tackle by Quinton Dunbar),0.150,1.270
2,5:13,1,10,MIA 35,7,0,Josh Rosen pass complete short left to Mike Gesicki for 6 yards (tackle by Cole Holcomb),1.270,1.530
