Unnamed: 0,SDG,PHI
First Downs,33,22
Rush-Yds-TDs,31-126-0,19-100-1
Cmp-Att-Yd-TD-INT,36-47-419-3-0,23-37-428-2-0
Sacked-Yards,1-6,2-17
Net Pass Yards,413,411
Total Yards,539,511
Fumbles-Lost,3-2,1-0
Turnovers,2,0
Penalties-Yards,4-32,9-77
Third Down Conv.,10-15,5-11
Fourth Down Conv.,0-0,0-0
Time of Possession,40:17,19:43
