Quarter,Time,Down,ToGo,Location,SDG,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss, Eagles to receive the opening kickoff.",,
1,15:00,,,SDG 35,0,0,"Nick Novak kicks off 70 yards, returned by Damaris Johnson for 30 yards",0.000,-0.610
1,14:55,1,10,PHI 25,0,0,Michael Vick pass complete short right to Jason Avant for 5 yards (tackle by Jarret Johnson),0.610,0.740
1,14:37,2,5,PHI 30,0,0,Michael Vick pass complete short right to DeSean Jackson for 9 yards (tackle by Shareece Wright),0.740,1.530
1,14:24,1,10,PHI 39,0,0,LeSean McCoy right tackle for 4 yards (tackle by Donald Butler),1.530,1.530
1,13:58,2,6,PHI 43,0,0,LeSean McCoy right end for 2 yards (tackle by Jarret Johnson),1.530,1.090
1,13:33,3,4,PHI 45,0,0,LeSean McCoy right tackle for 5 yards (tackle by Kendall Reyes and Reggie Walker),1.090,2.260
1,12:59,1,10,,0,0,Bryce Brown left end for 8 yards (tackle by Eric Weddle),2.260,2.790
1,12:35,2,2,SDG 42,0,0,Michael Vick sacked by Jarius Wynn for -6 yards,2.790,1.290
1,12:06,3,8,SDG 48,0,0,Michael Vick pass incomplete deep right intended for DeSean Jackson,1.290,0.070
1,12:01,4,8,SDG 48,0,0,Donnie Jones punts 38 yards,0.070,0.380
1,11:51,1,10,SDG 10,0,0,"Ryan Mathews right end for 10 yards (tackle by Nate Allen). Penalty on Nate Allen: Face Mask (15 Yards), 15 yards",-0.380,1.270
1,11:26,1,10,SDG 35,0,0,Philip Rivers pass complete deep middle to Malcom Floyd for 19 yards (tackle by Nate Allen),1.270,2.520
1,10:49,1,10,PHI 46,0,0,Ryan Mathews up the middle for 7 yards (tackle by Mychal Kendricks),2.520,2.920
1,10:09,2,3,PHI 39,0,0,Philip Rivers pass complete short left to Danny Woodhead for 8 yards (tackle by Patrick Chung),2.920,3.510
1,9:33,1,10,PHI 31,0,0,Ryan Mathews left tackle for 4 yards (tackle by Trent Cole),3.510,3.510
1,8:49,2,6,PHI 27,0,0,Philip Rivers sacked by Connor Barwin for -6 yards,3.510,2.020
1,8:09,3,12,PHI 33,0,0,Philip Rivers pass complete short left to Danny Woodhead for 2 yards (tackle by Mychal Kendricks),2.020,1.320
1,7:32,4,10,PHI 31,3,0,Nick Novak 49 yard field goal good,1.320,3.000
1,7:32,,,SDG 35,3,0,"Nick Novak kicks off 63 yards, returned by Damaris Johnson for 21 yards (tackle by Andrew Gachkar)",0.000,-0.480
1,7:20,1,10,PHI 23,3,0,Michael Vick pass complete short middle to LeSean McCoy for 70 yards (tackle by Reggie Walker),0.480,5.600
1,6:39,1,7,SDG 7,3,0,Bryce Brown left tackle for 1 yard (tackle by Jarret Johnson),5.600,4.950
1,6:16,2,6,SDG 6,3,0,Bryce Brown left tackle for 4 yards (tackle by Eric Weddle),4.950,4.950
1,5:41,3,2,SDG 2,3,0,Michael Vick pass incomplete short left intended for James Casey,4.950,3.250
1,5:36,4,2,SDG 2,3,0,"Alex Henery 20 yard field goal good. Penalty on PHI: Illegal Formation, 5 yards (no play)",3.250,2.970
1,5:33,4,7,SDG 7,3,3,Alex Henery 25 yard field goal good,2.970,3.000
1,5:33,,,PHI 35,3,3,"Alex Henery kicks off 66 yards, returned by Fozzy Whittaker for 21 yards (tackle by Nate Allen). Penalty on Andrew Gachkar: Illegal Block Above the Waist, 7 yards",0.000,0.380
1,5:23,1,10,SDG 7,3,3,Ryan Mathews up the middle for 2 yards (tackle by DeMeco Ryans),-0.380,-0.630
1,4:49,2,8,SDG 9,3,3,Ryan Mathews left end for 20 yards (tackle by DeMeco Ryans and Nate Allen),-0.630,0.870
1,4:06,1,10,SDG 29,3,3,Philip Rivers for 12 yards,0.870,1.660
1,3:32,1,10,SDG 41,3,3,Ryan Mathews right end for 4 yards (tackle by DeMeco Ryans),1.660,1.660
1,2:46,2,6,SDG 45,3,3,Philip Rivers pass complete short right to Vincent Brown for 8 yards (tackle by Brandon Boykin),1.660,2.460
1,2:07,1,10,PHI 47,3,3,Philip Rivers pass complete short left to Antonio Gates for 21 yards (tackle by Patrick Chung and Nate Allen),2.460,3.840
1,1:29,1,10,PHI 26,3,3,Ryan Mathews right end for -2 yards (tackle by Connor Barwin),3.840,3.030
1,0:42,2,12,PHI 28,3,3,Philip Rivers pass complete short right to Malcom Floyd for 9 yards,3.030,3.570
,,,,,,,"PHI challenged the pass completion ruling, and the play was upheld.",,
1,0:13,3,3,PHI 19,3,3,Philip Rivers pass complete short right to Danny Woodhead for 5 yards (tackle by Nate Allen),3.570,4.650
Quarter,Time,Down,ToGo,Location,SDG,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,PHI 14,3,3,Philip Rivers pass complete short left to Ryan Mathews for 3 yards (tackle by Cary Williams and DeMeco Ryans),4.650,4.520
2,14:13,2,7,PHI 11,9,3,"Philip Rivers pass complete short right to Eddie Royal for 11 yards, touchdown",4.520,7.000
2,14:13,,,PHI 2,10,3,Nick Novak kicks extra point good,0.000,0.000
2,14:13,,,SDG 35,10,3,"Nick Novak kicks off 66 yards, returned by Damaris Johnson for 23 yards (tackle by Andrew Gachkar)",0.000,-0.410
2,13:43,1,10,PHI 22,10,3,LeSean McCoy right end for 9 yards (tackle by Reggie Walker),0.410,1.080
2,13:41,2,1,PHI 31,10,3,Michael Vick pass incomplete deep right intended for DeSean Jackson,1.080,0.370
2,13:38,3,1,PHI 31,10,3,LeSean McCoy up the middle for 6 yards (tackle by Reggie Walker),0.370,1.400
