Quarter,Time,Tm,Detail,GNB,DAL
1.0,7:08,Packers,Aaron Jones 3 yard rush (Anders Carlson kick),7,0
2.0,14:15,Packers,Aaron Jones 1 yard rush (Anders Carlson kick),14,0
,3:23,Packers,Dontayvion Wicks 20 yard pass from Jordan Love (Anders Carlson kick failed),20,0
,1:50,Packers,Darnell Savage Jr. 64 yard interception return (Anders Carlson kick),27,0
,0:00,Cowboys,Jake Ferguson 1 yard pass from Dak Prescott (Brandon Aubrey kick),27,7
3.0,9:23,Cowboys,Brandon Aubrey 34 yard field goal,27,10
,6:38,Packers,Aaron Jones 9 yard rush (Anders Carlson kick),34,10
,3:03,Cowboys,Tony Pollard 1 yard rush (Brandon Aubrey kick failed),34,16
,1:27,Packers,Luke Musgrave 38 yard pass from Jordan Love (Anders Carlson kick),41,16
4.0,10:23,Packers,Romeo Doubs 3 yard pass from Jordan Love (Anders Carlson kick),48,16
,5:54,Cowboys,Jake Ferguson 7 yard pass from Dak Prescott (Rico Dowdle run),48,24
,3:25,Cowboys,Jake Ferguson 14 yard pass from Dak Prescott (Dak Prescott run),48,32
