Unnamed: 0,GNB,DAL
First Downs,22,37
Rush-Yds-TDs,33-143-3,25-123-1
Cmp-Att-Yd-TD-INT,16-21-272-3-0,41-60-403-3-2
Sacked-Yards,0-0,4-16
Net Pass Yards,272,387
Total Yards,415,510
Fumbles-Lost,0-0,0-0
Turnovers,0,2
Penalties-Yards,7-66,6-48
Third Down Conv.,6-10,10-16
Fourth Down Conv.,1-1,0-2
Time of Possession,28:55,31:05
