Unnamed: 0,BUF,KAN
First Downs,24,29
Rush-Yds-TDs,18-129-0,25-114-2
Cmp-Att-Yd-TD-INT,28-48-287-2-1,29-38-325-3-0
Sacked-Yards,4-53,1-0
Net Pass Yards,234,325
Total Yards,363,439
Fumbles-Lost,0-0,1-1
Turnovers,1,1
Penalties-Yards,4-38,3-32
Third Down Conv.,5-14,6-10
Fourth Down Conv.,2-2,1-1
Time of Possession,28:51,31:09
