Quarter,Time,Tm,Detail,BUF,KAN
1.0,11:27,Bills,Tyler Bass 51 yard field goal,3,0
,6:14,Bills,Dawson Knox 3 yard pass from Josh Allen (Tyler Bass kick failed),9,0
2.0,14:16,Chiefs,Mecole Hardman 3 yard pass from Patrick Mahomes (Harrison Butker kick),9,7
,9:35,Chiefs,Darrel Williams 6 yard rush (Harrison Butker kick),9,14
,4:12,Chiefs,Clyde Edwards-Helaire 1 yard rush (Harrison Butker kick),9,21
,0:11,Bills,Tyler Bass 20 yard field goal,12,21
3.0,10:48,Chiefs,Harrison Butker 45 yard field goal,12,24
,5:49,Bills,Tyler Bass 27 yard field goal,15,24
,3:29,Chiefs,Travis Kelce 1 yard pass from Patrick Mahomes (Harrison Butker kick),15,31
4.0,7:36,Chiefs,Travis Kelce 5 yard pass from Patrick Mahomes (Harrison Butker kick),15,38
,4:08,Bills,Isaiah McKenzie 6 yard pass from Josh Allen (pass failed),21,38
,3:14,Bills,Tyler Bass 51 yard field goal,24,38
