Quarter,Time,Down,ToGo,Location,HOU,WAS,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Texans won the coin toss and deferred, Redskins to receive the opening kickoff.",,
1,15:00,,,HOU 35,0,0,"Ka'imi Fairbairn kicks off 65 yards, returned by Danny Johnson for no gain (tackle by A.J. Moore)",0.000,0.340
1,14:56,1,10,WAS 21,0,0,Alex Smith pass incomplete short right intended for Jordan Reed (defended by Kareem Jackson),0.340,-0.200
1,14:52,2,10,WAS 21,0,0,Adrian Peterson left guard for 1 yard (tackle by Kareem Jackson and Benardrick McKinney),-0.200,-0.760
1,14:24,3,9,WAS 22,0,0,Alex Smith pass incomplete short left,-0.760,-1.900
1,14:17,4,9,WAS 22,0,0,"Tress Way punts 51 yards, fair catch by DeAndre Carter at HOU-27",-1.900,-0.740
1,14:10,1,10,HOU 27,0,0,Lamar Miller right tackle for 3 yards (tackle by Matthew Ioannidis),0.740,0.600
1,13:36,2,7,HOU 30,0,0,Deshaun Watson pass complete short middle to Lamar Miller for 6 yards (tackle by Mason Foster),0.600,0.700
1,13:01,3,1,HOU 36,0,0,Deshaun Watson pass complete short right to Jordan Akins for 28 yards (tackle by Ha Ha Clinton-Dix),0.700,3.180
1,12:35,1,10,WAS 36,0,0,Lamar Miller right guard for 11 yards (tackle by D.J. Swearinger),3.180,3.910
1,12:14,1,10,WAS 25,0,0,Lamar Miller right end for -3 yards (tackle by Jonathan Allen),3.910,2.960
1,11:36,2,13,WAS 28,0,0,Deshaun Watson pass complete short middle to Keke Coutee for 16 yards (tackle by D.J. Swearinger and Fabian Moreau),2.960,4.780
1,11:01,1,10,WAS 12,0,0,Lamar Miller left end for -2 yards (tackle by Ryan Anderson and Ryan Kerrigan),4.780,3.790
1,10:26,2,12,WAS 14,0,0,Deshaun Watson pass complete short right to Keke Coutee for 9 yards (tackle by Fabian Moreau),3.790,4.610
1,9:40,3,3,WAS 5,0,0,Deshaun Watson pass incomplete short left intended for DeAndre Hopkins,4.610,3.020
1,9:35,4,3,WAS 5,3,0,Ka'imi Fairbairn 23 yard field goal good,3.020,3.000
1,9:32,,,HOU 35,3,0,"Ka'imi Fairbairn kicks off 66 yards, returned by Danny Johnson for no gain (tackle by Gregory Howell). Penalty on Kapri Bibbs: Offensive Holding, 9 yards",0.000,-0.380
1,9:27,1,10,WAS 9,3,0,Adrian Peterson right end for 4 yards (tackle by D.J. Reader),-0.380,-0.480
1,9:02,2,6,WAS 13,3,0,Alex Smith pass incomplete deep right intended for Michael Floyd (defended by Johnathan Joseph),-0.480,-0.950
1,8:58,3,6,WAS 13,3,0,Alex Smith pass complete short middle to Michael Floyd for 18 yards (tackle by Kareem Jackson),-0.950,1.000
1,8:15,1,10,WAS 31,3,0,Adrian Peterson right tackle for 3 yards (tackle by J.J. Watt and Benardrick McKinney),1.000,0.870
1,7:33,2,7,WAS 34,3,0,Adrian Peterson right tackle for 2 yards (tackle by Angelo Blackson and Brandon Dunn),0.870,0.430
1,6:47,3,5,WAS 36,3,0,Alex Smith pass incomplete deep middle intended for Vernon Davis (defended by Andre Hal),0.430,-0.980
1,6:41,4,5,WAS 36,3,0,"Tress Way punts 49 yards, returned by DeAndre Carter for 16 yards (tackle by Nick Sundberg and Zach Vigil)",-0.980,-1.000
1,6:28,1,10,HOU 31,3,0,Deshaun Watson pass complete short middle to DeAndre Hopkins for 16 yards (tackle by Ha Ha Clinton-Dix),1.000,2.060
1,5:57,1,10,HOU 47,3,0,"Deshaun Watson pass complete short left to Ryan Griffin for 6 yards (tackle by Josh Norman). Penalty on Tim Settle: Illegal Use of Hands, 5 yards (no play)",2.060,2.390
1,5:34,1,10,WAS 48,3,0,Lamar Miller left tackle for 15 yards (tackle by Ha Ha Clinton-Dix and Josh Norman),2.390,3.380
1,4:49,1,10,WAS 33,3,0,Deshaun Watson pass complete short right to DeAndre Hopkins for 7 yards,3.380,3.780
1,4:25,2,3,WAS 26,3,0,Lamar Miller left tackle for 2 yards (tackle by Mason Foster),3.780,3.340
1,3:49,3,1,WAS 24,3,0,Alfred Blue left tackle for 8 yards (tackle by Ha Ha Clinton-Dix),3.340,4.510
