Unnamed: 0,HOU,WAS
First Downs,19,23
Rush-Yds-TDs,31-139-0,29-124-2
Cmp-Att-Yd-TD-INT,16-24-208-1-2,18-39-189-1-2
Sacked-Yards,3-27,5-35
Net Pass Yards,181,154
Total Yards,320,278
Fumbles-Lost,2-1,1-0
Turnovers,3,2
Penalties-Yards,7-40,6-43
Third Down Conv.,4-11,6-15
Fourth Down Conv.,0-0,1-1
Time of Possession,29:03,30:57
