Quarter,Time,Tm,Detail,HOU,WAS
1.0,9:32,Texans,Ka'imi Fairbairn 23 yard field goal,3,0
,3:15,Texans,DeAndre Hopkins 16 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),10,0
2.0,14:14,Redskins,Adrian Peterson 3 yard rush (Dustin Hopkins kick),10,7
,2:23,Texans,Justin Reid 101 yard interception return (Ka'imi Fairbairn kick),17,7
3.0,4:47,Redskins,Jordan Reed 9 yard pass from Colt McCoy (Dustin Hopkins kick),17,14
,1:19,Texans,Ka'imi Fairbairn 33 yard field goal,20,14
4.0,11:57,Redskins,Adrian Peterson 7 yard rush (Dustin Hopkins kick),20,21
,7:30,Texans,Ka'imi Fairbairn 54 yard field goal,23,21
