Quarter,Time,Tm,Detail,HOU,TEN
1.0,9:57,Titans,DaQuan Jones defensive fumble recovery in end zone (Ryan Succop kick),0,7
2.0,0:23,Titans,Rishard Matthews 2 yard pass from Matt Cassel (Ryan Succop kick),0,14
3.0,10:31,Texans,C.J. Fiedorowicz 4 yard pass from Brock Osweiler (Nick Novak kick),7,14
,4:44,Titans,Derrick Henry 2 yard rush (Ryan Succop kick),7,21
,1:11,Texans,Nick Novak 26 yard field goal,10,21
4.0,8:30,Titans,Ryan Succop 35 yard field goal,10,24
,3:11,Texans,Brock Osweiler 1 yard rush (Nick Novak kick),17,24
