Quarter,Time,Tm,Detail,ARI,SEA
1.0,8:45,Seahawks,Stephen Hauschka 27 yard field goal,0,3
2.0,12:52,Seahawks,Stephen Hauschka 32 yard field goal,0,6
,10:09,Seahawks,Stephen Hauschka 52 yard field goal,0,9
,0:14,Cardinals,Chandler Catanzaro 23 yard field goal,3,9
3.0,8:34,Seahawks,Stephen Hauschka 40 yard field goal,3,12
,0:52,Seahawks,Cooper Helfet 20 yard pass from Russell Wilson (Stephen Hauschka kick),3,19
