Unnamed: 0,ARI,SEA
First Downs,12,16
Rush-Yds-TDs,20-64-0,29-124-0
Cmp-Att-Yd-TD-INT,14-26-149-0-1,17-22-211-1-0
Sacked-Yards,3-9,7-42
Net Pass Yards,140,169
Total Yards,204,293
Fumbles-Lost,2-0,0-0
Turnovers,1,0
Penalties-Yards,3-25,7-74
Third Down Conv.,3-12,5-13
Fourth Down Conv.,0-0,0-0
Time of Possession,24:33,35:27
