Unnamed: 0,SFO,PIT
First Downs,27,21
Rush-Yds-TDs,31-111-0,25-84-3
Cmp-Att-Yd-TD-INT,33-46-335-2-0,21-27-369-3-0
Sacked-Yards,5-37,0-0
Net Pass Yards,298,369
Total Yards,409,453
Fumbles-Lost,2-1,0-0
Turnovers,1,0
Penalties-Yards,7-46,7-58
Third Down Conv.,7-17,6-10
Fourth Down Conv.,3-5,0-0
Time of Possession,36:59,23:01
