Unnamed: 0,BUF,GNB
First Downs,14,18
Rush-Yds-TDs,32-124-1,27-91-2
Cmp-Att-Yd-TD-INT,11-18-102-0-2,19-29-255-2-0
Sacked-Yards,4-40,0-0
Net Pass Yards,62,255
Total Yards,186,346
Fumbles-Lost,0-0,2-0
Turnovers,2,0
Penalties-Yards,4-35,6-49
Third Down Conv.,4-12,7-12
Fourth Down Conv.,0-2,0-0
Time of Possession,29:04,30:56
