Unnamed: 0,IND,TAM
First Downs,16,29
Rush-Yds-TDs,22-66-1,28-75-1
Cmp-Att-Yd-TD-INT,19-36-251-2-0,35-49-474-4-3
Sacked-Yards,1-8,1-7
Net Pass Yards,243,467
Total Yards,309,542
Fumbles-Lost,1-1,1-1
Turnovers,1,4
Penalties-Yards,3-35,6-104
Third Down Conv.,6-16,8-15
Fourth Down Conv.,2-3,1-1
Time of Possession,25:45,34:15
