Quarter,Time,Tm,Detail,NYG,STL
1.0,9:54,Giants,Matt Bryant 20 yard field goal,3,0
2.0,10:29,Giants,Jeremy Shockey 28 yard pass from Kerry Collins (Matt Bryant kick),10,0
,9:44,Giants,Jason Sehorn 31 yard interception return (Matt Bryant kick),17,0
,4:38,Rams,Ricky Proehl 6 yard pass from Kurt Warner (Jeff Wilkins kick),17,7
3.0,11:44,Rams,Marshall Faulk 1 yard rush (Jeff Wilkins kick),17,14
,6:08,Giants,Matt Bryant 32 yard field goal,20,14
4.0,11:47,Giants,Matt Bryant 34 yard field goal,23,14
,8:24,Rams,Marshall Faulk 8 yard rush (Jeff Wilkins kick),23,21
,4:19,Giants,Matt Bryant 25 yard field goal,26,21
