Quarter,Time,Down,ToGo,Location,NYG,STL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Giants won the coin toss, Giants to receive the opening kickoff.",,
1,15:00,,,STL 30,0,0,"Jeff Wilkins kicks off 70 yards, returned by Damon Washington for 30 yards (tackle by Don Davis)",0.000,0.940
1,14:54,1,10,NYG 30,0,0,Ron Dayne middle for 3 yards (tackle by Grant Wistrom and Jamie Duncan),0.940,0.800
1,14:20,2,7,NYG 33,0,0,Tiki Barber middle for 5 yards (tackle by Jeff Zgonina),0.800,0.760
1,13:42,3,2,NYG 38,0,0,Kerry Collins pass complete to Ike Hilliard for 38 yards (tackle by Aeneas Williams),0.760,3.970
1,13:10,1,10,STL 24,0,0,Ron Dayne left end for 7 yards (tackle by Kim Herring),3.970,4.460
1,12:31,2,3,STL 17,0,0,Tiki Barber middle for 12 yards (tackle by Dre' Bly),4.460,6.060
1,11:54,1,5,STL 5,0,0,"Penalty on Grant Wistrom: Defensive Offside, 3 yards (no play)",6.060,6.740
1,11:38,1,2,STL 2,0,0,Tiki Barber middle for 1 yard (tackle by Brian Young),6.740,5.910
1,11:07,2,1,STL 1,0,0,Ron Dayne middle for -1 yards (tackle by Jeff Zgonina and Tommy Polley),5.910,4.950
1,10:32,3,2,STL 2,0,0,Ron Dayne right end for no gain (tackle by Leonard Little),4.950,3.250
1,9:57,4,2,STL 2,3,0,Matt Bryant 20 yard field goal good,3.250,3.000
1,9:57,,,NYG 30,3,0,"Matt Bryant kicks off 68 yards, returned by Terrence Wilkins for 24 yards (tackle by Kevin Lewis)",0.000,0.670
1,9:48,1,10,STL 26,3,0,Marshall Faulk middle for 4 yards (tackle by Michael Strahan),0.670,0.670
1,9:24,2,6,STL 30,3,0,Kurt Warner pass complete to Torry Holt for 12 yards (tackle by Will Peterson),0.670,1.730
1,9:06,1,10,STL 42,3,0,Kurt Warner pass complete to Marshall Faulk for 4 yards (tackle by Michael Strahan),1.730,1.730
1,8:41,2,6,STL 46,3,0,Marshall Faulk middle for 3 yards (tackle by Michael Strahan),1.730,1.420
1,8:13,3,3,STL 49,3,0,"Penalty on John St. Clair: False Start, 5 yards (no play)",1.420,0.760
1,7:54,3,8,STL 44,3,0,Kurt Warner pass incomplete intended for Torry Holt,0.760,-0.460
1,7:50,4,8,STL 44,3,0,"Mitch Berger punts 49 yards, fair catch by Daryl Jones",-0.460,0.380
1,7:43,1,10,NYG 7,3,0,Kerry Collins pass complete to Dan Campbell for 5 yards (tackle by Aeneas Williams),-0.380,-0.420
1,7:05,2,5,NYG 12,3,0,Ron Dayne left tackle for 3 yards (tackle by Robert Thomas),-0.420,-0.480
1,6:23,3,2,NYG 15,3,0,Kerry Collins pass complete to Sean Bennett for 10 yards (tackle by Adam Archuleta),-0.480,0.610
1,5:57,1,10,NYG 25,3,0,Ron Dayne middle for 1 yard (tackle by Adam Archuleta),0.610,0.200
1,5:17,2,9,NYG 26,3,0,Ron Dayne right guard for 2 yards (tackle by Aeneas Williams),0.200,-0.230
1,4:38,3,7,NYG 28,3,0,Kerry Collins pass complete to Tiki Barber for 6 yards (tackle by Adam Archuleta and Tommy Polley),-0.230,-1.110
1,3:54,4,1,NYG 34,3,0,"Matt Allen punts 39 yards, returned by Terrence Wilkins for 6 yards (tackle by Damon Washington)",-1.110,-1.140
1,3:44,1,10,STL 33,3,0,Marshall Faulk middle for 3 yards (tackle by Daryl Jones),1.140,1.000
1,3:08,2,7,STL 36,3,0,Kurt Warner pass complete to Marshall Faulk for 14 yards (tackle by Shaun Williams),1.000,2.260
1,2:27,1,10,,3,0,Kurt Warner pass complete to Isaac Bruce for 5 yards (tackle by Will Peterson),2.260,2.390
1,1:45,2,5,NYG 45,3,0,Kurt Warner pass complete to Isaac Bruce for 12 yards (tackle by Micheal Barrow),2.390,3.380
1,1:08,1,10,NYG 33,3,0,Kurt Warner pass complete to Isaac Bruce for 10 yards (tackle by Will Allen),3.380,4.040
1,0:22,1,10,NYG 23,3,0,Marshall Faulk left guard for 3 yards (tackle by Kenny Holmes),4.040,3.900
Quarter,Time,Down,ToGo,Location,NYG,STL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,NYG 20,3,0,"Penalty on Orlando Pace: False Start, 5 yards (no play)",3.900,3.230
2,15:00,2,12,NYG 25,3,0,Kurt Warner pass incomplete intended for Torry Holt,3.230,2.540
