Unnamed: 0,DEN,OAK
First Downs,30,14
Rush-Yds-TDs,39-140-1,16-61-0
Cmp-Att-Yd-TD-INT,26-36-310-1-1,19-30-273-2-1
Sacked-Yards,3-22,1-10
Net Pass Yards,288,263
Total Yards,428,324
Fumbles-Lost,1-0,1-1
Turnovers,1,2
Penalties-Yards,3-25,11-94
Third Down Conv.,7-14,2-8
Fourth Down Conv.,0-0,0-0
Time of Possession,37:19,22:41
