Unnamed: 0,NYG,WAS
First Downs,19,14
Rush-Yds-TDs,30-96-2,27-82-1
Cmp-Att-Yd-TD-INT,21-36-232-1-2,16-34-190-1-0
Sacked-Yards,2-13,2-12
Net Pass Yards,219,178
Total Yards,315,260
Fumbles-Lost,1-1,3-1
Turnovers,3,1
Penalties-Yards,3-15,6-37
Third Down Conv.,9-16,5-16
Fourth Down Conv.,0-0,1-2
Time of Possession,32:58,27:02
