Quarter,Time,Tm,Detail,BAL,NWE
1.0,4:09,Ravens,Mark Andrews 5 yard pass from Lamar Jackson (Justin Tucker kick),7,0
2.0,14:57,Patriots,Nick Folk 35 yard field goal,7,3
,5:58,Patriots,Mac Jones 3 yard rush (Nick Folk kick),7,10
,0:30,Ravens,Mark Andrews 16 yard pass from Lamar Jackson (Justin Tucker kick),14,10
,0:00,Patriots,Nick Folk 50 yard field goal,14,13
3.0,12:14,Patriots,Damien Harris 2 yard rush (Nick Folk kick),14,20
,8:39,Ravens,Josh Oliver 1 yard pass from Lamar Jackson (Justin Tucker kick),21,20
,4:41,Ravens,Devin Duvernay 4 yard pass from Lamar Jackson (Justin Tucker kick),28,20
,2:33,Ravens,Justin Tucker 56 yard field goal,31,20
4.0,12:39,Patriots,Rhamondre Stevenson 1 yard rush (pass failed),31,26
,3:00,Ravens,Lamar Jackson 9 yard rush (Justin Tucker kick failed),37,26
