Unnamed: 0,BAL,NWE
First Downs,19,22
Rush-Yds-TDs,26-188-1,28-145-3
Cmp-Att-Yd-TD-INT,18-29-218-4-1,22-32-321-0-3
Sacked-Yards,4-12,3-19
Net Pass Yards,206,302
Total Yards,394,447
Fumbles-Lost,1-1,3-1
Turnovers,2,4
Penalties-Yards,2-10,3-16
Third Down Conv.,5-11,2-9
Fourth Down Conv.,0-0,1-2
Time of Possession,30:36,29:24
