Quarter,Time,Tm,Detail,NYG,PHI
1.0,8:45,Eagles,Carson Wentz 1 yard rush (Jake Elliott kick),0,7
,4:13,Giants,Golden Tate 39 yard pass from Daniel Jones (Graham Gano kick),7,7
2.0,13:28,Eagles,Jake Elliott 31 yard field goal,7,10
3.0,6:45,Giants,Wayne Gallman 1 yard rush (Graham Gano kick),14,10
4.0,6:17,Giants,Sterling Shepard 2 yard pass from Daniel Jones (Graham Gano kick),21,10
,4:38,Eagles,Greg Ward 3 yard pass from Carson Wentz (run failed),21,16
,0:40,Eagles,Boston Scott 18 yard pass from Carson Wentz (pass failed),21,22
