Unnamed: 0,NYG,PHI
First Downs,17,27
Rush-Yds-TDs,22-160-1,26-96-1
Cmp-Att-Yd-TD-INT,20-30-187-2-1,25-43-359-2-1
Sacked-Yards,3-22,3-13
Net Pass Yards,165,346
Total Yards,325,442
Fumbles-Lost,2-2,0-0
Turnovers,3,1
Penalties-Yards,9-62,7-75
Third Down Conv.,3-10,4-13
Fourth Down Conv.,0-0,1-2
Time of Possession,27:22,32:38
