Unnamed: 0,PHI,ARI
First Downs,11,19
Rush-Yds-TDs,17-43-2,32-75-0
Cmp-Att-Yd-TD-INT,14-36-170-1-1,27-38-294-2-1
Sacked-Yards,4-24,2-9
Net Pass Yards,146,285
Total Yards,189,360
Fumbles-Lost,1-0,2-0
Turnovers,1,1
Penalties-Yards,10-103,9-83
Third Down Conv.,2-14,7-17
Fourth Down Conv.,1-2,0-0
Time of Possession,21:06,38:54
