Quarter,Time,Down,ToGo,Location,PHI,ARI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss, Eagles to receive the opening kickoff.",,
1,15:00,,,ARI 30,0,0,"Nick Novak kicks off 65 yards, returned by Bruce Perry for 49 yards (tackle by Nick Novak)",0.000,-2.520
1,14:53,1,10,ARI 46,0,0,"Penalty on Shawn Andrews: False Start, 5 yards (no play)",2.520,2.190
1,14:43,1,15,PHI 49,0,0,Mike McMahon sacked by Adrian Wilson for -4 yards,2.190,0.760
1,14:26,2,19,PHI 45,0,0,Ryan Moats left end for 1 yard (tackle by James Darling),0.760,0.230
1,14:02,3,18,PHI 46,0,0,Mike McMahon pass incomplete intended for Greg Lewis,0.230,-0.320
1,13:41,4,18,PHI 46,0,0,"Sean Landeta punts 49 yards, returned by Reggie Swinton for 4 yards (tackle by Darnerien McCants)",-0.320,0.380
1,13:32,1,10,ARI 9,0,0,Josh McCown pass complete to Adam Bergen for 5 yards (tackle by Dhani Jones),-0.380,-0.390
1,12:48,2,5,ARI 14,0,0,Josh McCown pass complete to Larry Fitzgerald for 4 yards (tackle by Michael Lewis and Brian Dawkins),-0.390,-0.370
1,12:12,3,1,ARI 18,0,0,Obafemi Ayanbadejo up the middle for no gain (tackle by Mike Patterson and Justin Ena),-0.370,-2.240
1,11:33,4,1,ARI 18,0,0,"Scott Player punts 39 yards, fair catch by Reno Mahe",-2.240,-1.800
1,11:25,1,10,PHI 43,0,0,Mike McMahon pass incomplete intended for L.J. Smith,1.800,1.250
1,11:22,2,10,PHI 43,0,0,Mike McMahon pass incomplete intended for Ryan Moats,1.250,0.560
1,11:18,3,10,PHI 43,0,0,Mike McMahon pass complete to Reno Mahe for 9 yards (tackle by James Darling),0.560,0.070
1,10:32,4,1,ARI 48,0,0,Ryan Moats left end for -1 yards (tackle by Adrian Wilson),0.070,-2.190
1,10:27,1,10,ARI 49,0,0,"Josh McCown pass complete to Anquan Boldin for 8 yards (tackle by Roderick Hood). Penalty on ARI: Illegal Formation, 5 yards (no play)",2.190,1.860
1,10:06,1,15,ARI 44,0,0,Marcel Shipp up the middle for 5 yards (tackle by Jeremiah Trotter),1.860,1.650
1,9:28,2,10,ARI 49,0,0,Josh McCown pass complete to Adam Bergen for 14 yards (tackle by Michael Lewis). Penalty on Keith Adams: Defensive Pass Interfere (Declined),1.650,3.120
1,9:05,1,10,PHI 37,0,0,Marcel Shipp right tackle for -3 yards (tackle by Mike Patterson),3.120,2.170
1,8:23,2,13,PHI 40,0,0,"Josh McCown pass incomplete intended for Anquan Boldin. Penalty on Donald Strickland: Defensive Pass Interfere, 20 yards (no play)",2.170,4.240
1,8:16,1,10,PHI 20,0,0,Josh McCown pass incomplete intended for Bryant Johnson,4.240,3.690
1,8:15,2,10,PHI 20,0,0,Marcel Shipp right tackle for 6 yards (tackle by Sheldon Brown),3.690,3.890
1,7:31,3,4,PHI 14,0,0,Josh McCown pass incomplete intended for Anquan Boldin (defended by Michael Lewis),3.890,2.580
1,7:27,4,4,PHI 14,0,3,Neil Rackers 32 yard field goal good,2.580,3.000
1,,,,ARI 30,0,3,"Nick Novak kicks off 64 yards, returned by Bruce Perry for 30 yards (tackle by Quentin Harris)",0.000,-1.330
1,7:18,1,10,PHI 36,0,3,Bruce Perry left tackle for 4 yards (tackle by Tim Bulman),1.330,1.330
1,6:44,2,6,PHI 40,0,3,Ryan Moats right tackle for -1 yards (tackle by Tim Bulman),1.330,0.500
1,6:07,3,7,PHI 39,0,3,"Mike McMahon pass complete to Billy McMullen for no gain. Penalty on Artis Hicks: Offensive Holding, 10 yards (no play)",0.500,-0.820
1,5:45,3,17,PHI 29,0,3,Mike McMahon pass incomplete intended for Darnerien McCants,-0.820,-1.440
1,5:37,4,17,PHI 29,0,3,"Sean Landeta punts 43 yards, returned by Reggie Swinton for 11 yards (tackle by Dedrick Roper)",-1.440,-1.530
1,5:28,1,10,ARI 39,0,3,Josh McCown pass complete to Larry Fitzgerald for 45 yards (tackle by Sheldon Brown),1.530,4.510
1,4:48,1,10,PHI 16,0,3,J.J. Arrington up the middle for 3 yards (tackle by Brian Dawkins),4.510,4.390
1,4:15,2,7,PHI 13,0,3,Josh McCown pass incomplete intended for Larry Fitzgerald (defended by Roderick Hood),4.390,3.540
1,4:10,3,7,PHI 13,0,3,Josh McCown sacked by Jevon Kearse for -1 yards,3.540,2.510
1,4:10,4,8,PHI 14,0,6,Neil Rackers 32 yard field goal good,2.510,3.000
1,,,,ARI 30,0,6,"Nick Novak kicks off 65 yards, returned by Bruce Perry for 19 yards (tackle by Harold Morrow)",0.000,-0.540
1,3:30,1,10,PHI 24,0,6,Mike McMahon pass incomplete intended for Chad Lewis,0.540,0.000
1,3:25,2,10,PHI 24,0,6,Mike McMahon pass complete to Reggie Brown for 5 yards (tackle by Raymond Walls and Aaron Francisco),0.000,-0.030
1,2:46,3,5,PHI 29,0,6,Mike McMahon pass incomplete intended for Reggie Brown,-0.030,-1.440
1,2:40,4,5,PHI 29,0,6,"Sean Landeta punts 49 yards, returned by Reggie Swinton for 2 yards (tackle by Keith Adams)",-1.440,-0.540
1,2:29,1,10,ARI 24,0,6,Marcel Shipp right tackle for 2 yards (tackle by Dhani Jones),0.540,0.270
1,1:54,2,8,ARI 26,0,6,Anquan Boldin right end for -6 yards (tackle by Michael Lewis),0.270,-1.220
1,1:11,3,14,ARI 20,0,6,Josh McCown pass complete to Anquan Boldin for 9 yards (tackle by Matt Ware),-1.220,-1.440
1,0:39,4,5,ARI 29,0,6,"Scott Player punts 47 yards, returned by Reno Mahe for 8 yards (tackle by Quentin Harris)",-1.440,-1.070
1,0:30,1,10,PHI 32,0,6,Reno Mahe right tackle for 5 yards (tackle by Darnell Dockett),1.070,1.200
