Quarter,Time,Tm,Detail,NYJ,JAX
1.0,3:41,Jaguars,Josh Lambo 32 yard field goal,0,3
2.0,9:25,Jaguars,Josh Lambo 22 yard field goal,0,6
,1:47,Jaguars,T.J. Yeldon 31 yard pass from Blake Bortles (Josh Lambo kick),0,13
,0:29,Jaguars,Josh Lambo 54 yard field goal,0,16
3.0,12:22,Jaguars,"Safety, Isaiah Crowell tackled in end zone by Marcell Dareus",0,18
,4:58,Jets,Jason Myers 27 yard field goal,3,18
,3:40,Jaguars,Donte Moncrief 67 yard pass from Blake Bortles (Josh Lambo kick),3,25
4.0,12:53,Jets,Jason Myers 38 yard field goal,6,25
,11:18,Jets,Jordan Leggett 2 yard pass from Sam Darnold (pass failed),12,25
,0:25,Jaguars,T.J. Yeldon 1 yard rush (pass failed),12,31
