Unnamed: 0,NYJ,JAX
First Downs,10,23
Rush-Yds-TDs,14-34-0,34-126-1
Cmp-Att-Yd-TD-INT,17-34-167-1-0,29-38-388-2-1
Sacked-Yards,3-23,2-11
Net Pass Yards,144,377
Total Yards,178,503
Fumbles-Lost,0-0,4-2
Turnovers,0,3
Penalties-Yards,6-43,9-89
Third Down Conv.,3-13,6-15
Fourth Down Conv.,0-1,1-1
Time of Possession,22:25,37:35
