Quarter,Time,Tm,Detail,MIN,WAS
1.0,9:04,Redskins,Jamison Crowder 4 yard pass from Kirk Cousins (Dustin Hopkins kick),0,7
2.0,14:18,Redskins,Vernon Davis 38 yard pass from Kirk Cousins (Dustin Hopkins kick),0,14
,5:39,Vikings,Matt Asiata 1 yard rush (Blair Walsh kick),7,14
,0:58,Vikings,Kyle Rudolph 20 yard pass from Sam Bradford (Blair Walsh kick),14,14
,0:00,Vikings,Adam Thielen 3 yard pass from Sam Bradford (Blair Walsh kick failed),20,14
3.0,8:53,Redskins,Dustin Hopkins 30 yard field goal,20,17
,0:38,Redskins,Dustin Hopkins 37 yard field goal,20,20
4.0,9:33,Redskins,Dustin Hopkins 50 yard field goal,20,23
,2:31,Redskins,Dustin Hopkins 28 yard field goal,20,26
