Unnamed: 0,MIN,WAS
First Downs,22,23
Rush-Yds-TDs,21-47-1,28-128-0
Cmp-Att-Yd-TD-INT,31-40-307-2-1,22-33-262-2-0
Sacked-Yards,3-23,1-2
Net Pass Yards,284,260
Total Yards,331,388
Fumbles-Lost,0-0,1-1
Turnovers,1,1
Penalties-Yards,4-35,4-35
Third Down Conv.,5-11,6-12
Fourth Down Conv.,0-1,0-0
Time of Possession,30:04,29:56
