Quarter,Time,Down,ToGo,Location,MIN,WAS,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Redskins won the coin toss and deferred, Vikings to receive the opening kickoff.",,
1,15:00,,,WAS 35,0,0,"Dustin Hopkins kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,MIN 25,0,0,Sam Bradford pass complete short middle to Rhett Ellison for 6 yards (tackle by Donte Whitner),0.610,0.870
1,14:24,2,4,MIN 31,0,0,Jerick McKinnon right end for -2 yards (tackle by Mason Foster and Ryan Kerrigan),0.870,-0.100
1,13:37,3,6,MIN 29,0,0,Sam Bradford pass incomplete short left intended for Kyle Rudolph,-0.100,-1.440
1,13:32,4,6,MIN 29,0,0,"Jeff Locke punts 40 yards, returned by Jamison Crowder for 1 yard (tackle by Kentrell Brothers)",-1.440,-1.070
1,13:23,1,10,WAS 32,0,0,Kirk Cousins pass complete short left to Pierre Garcon for 12 yards (tackle by Xavier Rhodes),1.070,1.860
1,13:03,1,10,WAS 44,0,0,Kirk Cousins pass complete deep right to Jordan Reed for 25 yards,1.860,3.510
1,12:29,1,10,MIN 31,0,0,Robert Kelley left guard for 4 yards (tackle by Shamar Stephen and Harrison Smith),3.510,3.510
1,11:54,2,6,MIN 27,0,0,Jamison Crowder right end for 7 yards (tackle by Andrew Sendejo),3.510,4.240
1,11:19,1,10,MIN 20,0,0,Kirk Cousins pass incomplete deep right intended for Jordan Reed,4.240,3.690
1,11:13,2,10,MIN 20,0,0,Chris Thompson right end for 9 yards (tackle by Eric Kendricks and Anthony Barr),3.690,4.590
1,10:33,3,1,MIN 11,0,0,Robert Kelley left guard for 4 yards (tackle by Xavier Rhodes and Chad Greenway),4.590,5.600
1,9:52,1,7,MIN 7,0,0,Robert Kelley right end for 3 yards (tackle by Shamar Stephen and Andrew Sendejo),5.600,5.340
1,9:16,2,4,MIN 4,0,0,Kirk Cousins pass incomplete short middle intended for Jordan Reed,5.340,4.490
1,9:11,3,4,MIN 4,0,6,"Kirk Cousins pass complete short right to Jamison Crowder for 4 yards, touchdown",4.490,7.000
