Unnamed: 0,BAL,IND
First Downs,15,19
Rush-Yds-TDs,26-105-2,19-60-0
Cmp-Att-Yd-TD-INT,15-28-163-0-1,30-40-284-1-1
Sacked-Yards,3-24,5-27
Net Pass Yards,139,257
Total Yards,244,317
Fumbles-Lost,7-2,1-0
Turnovers,3,1
Penalties-Yards,5-52,9-70
Third Down Conv.,4-13,3-13
Fourth Down Conv.,1-1,0-0
Time of Possession,28:59,31:01
