Quarter,Time,Down,ToGo,Location,BAL,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss, Colts to receive the opening kickoff.",,
1,15:00,,,BAL 30,0,0,"J.R. Jenkins kicks off 62 yards, returned by Troy Walters for 19 yards (tackle by John Jones)",0.000,0.740
1,14:56,1,10,IND 27,0,0,Edgerrin James middle for 5 yards (tackle by Peter Boulware and Ed Hartwell),0.740,0.870
1,14:17,2,5,IND 32,0,0,Edgerrin James left tackle for 12 yards (tackle by James Trapp),0.870,1.860
1,13:47,1,10,IND 44,0,0,Peyton Manning pass complete to Marvin Harrison for 39 yards (tackle by Gary Baxter and Will Demps),1.860,4.440
1,13:01,1,10,BAL 17,0,0,Edgerrin James middle for 6 yards (tackle by Cornell Brown and Ed Hartwell),4.440,4.890
1,12:23,2,4,BAL 11,0,6,"Peyton Manning pass complete to Marcus Pollard for 11 yards, touchdown",4.890,7.000
1,12:23,,,BAL 11,0,7,Mike Vanderjagt kicks extra point good,0.000,0.000
1,12:23,,,IND 30,0,7,--,0.000,3.710
1,12:03,1,10,IND 28,0,7,Chris Redman pass complete to Jamal Lewis for 1 yard (tackle by Mike Peterson and Rob Morris),3.710,3.300
1,11:27,2,9,IND 27,0,7,Jamal Lewis left tackle for 4 yards (tackle by Rob Morris),3.300,3.140
1,10:46,3,5,IND 23,0,7,Chris Redman pass incomplete,3.140,1.980
1,10:46,4,5,IND 23,3,7,Matt Stover 41 yard field goal good,1.980,3.000
1,10:46,,,BAL 30,3,7,"J.R. Jenkins kicks off 65 yards, returned by Troy Walters for 18 yards (tackle by Alvin Porter)",0.000,0.480
1,10:29,1,10,IND 23,3,7,Peyton Manning pass complete to Qadry Ismail for 14 yards (tackle by Chris McAlister),0.480,1.400
1,9:47,1,10,IND 37,3,7,Edgerrin James middle for no gain (tackle by Will Demps and Marques Douglas),1.400,0.860
1,9:05,2,10,IND 37,3,7,Peyton Manning pass complete to Edgerrin James for -2 yards (tackle by Anthony Mitchell),0.860,-0.100
1,8:21,3,12,IND 35,3,7,Peyton Manning pass incomplete intended for Qadry Ismail,-0.100,-1.040
1,8:16,4,12,IND 35,3,7,"Hunter Smith punts 35 yards, fair catch by Chris McAlister",-1.040,-0.940
1,8:09,1,10,BAL 30,3,7,Todd Heap left end for 14 yards (tackle by David Macklin),0.940,1.860
1,7:45,1,10,BAL 44,3,7,Jamal Lewis middle for 7 yards (tackle by Idrees Bashir and Marcus Washington),1.860,2.260
1,7:09,2,3,IND 49,3,7,Jamal Lewis middle for 2 yards (tackle by Sam Sword),2.260,1.820
1,6:40,3,1,IND 47,3,7,Chris Redman pass incomplete intended for Javin Hunter,1.820,0.130
1,6:34,4,1,IND 47,3,7,Dave Zastudil punts 46 yards,0.130,0.380
1,6:24,1,10,IND 1,3,7,Edgerrin James middle for 3 yards (tackle by Cornell Brown and Ed Hartwell),-0.380,-0.560
1,5:43,2,7,IND 4,3,7,Edgerrin James middle for 3 yards (tackle by Ed Reed),-0.560,-0.720
1,5:04,3,4,IND 7,3,7,Peyton Manning pass incomplete intended for Marvin Harrison,-0.720,-2.490
1,5:00,4,4,IND 7,3,7,"Hunter Smith punts 46 yards, returned by Chris McAlister for 14 yards (tackle by David Thornton)",-2.490,-2.980
1,4:50,1,10,IND 39,3,7,Jamal Lewis right end for 4 yards (tackle by Marcus Washington),2.980,2.980
1,4:10,2,6,IND 35,3,7,"Chris Redman sacked by Brad Scioli for -7 yards. Chris Redman fumbles (forced by Brad Scioli), recovered by Edwin Mulitalo at IND-44",2.980,1.090
1,3:24,3,15,IND 44,3,7,Chris Redman pass complete to Jamal Lewis for 11 yards (tackle by David Thornton),1.090,1.180
1,2:43,4,4,IND 33,6,7,Matt Stover 51 yard field goal good,1.180,3.000
1,2:43,,,BAL 30,6,7,"J.R. Jenkins kicks off 66 yards, returned by Troy Walters for 28 yards (tackle by Ed Reed)",0.000,1.070
1,2:33,1,10,IND 32,6,7,Edgerrin James right end for 3 yards (tackle by Cornell Brown and Ed Hartwell),1.070,0.930
1,1:53,2,7,IND 35,6,7,Peyton Manning pass incomplete intended for Qadry Ismail,0.930,0.230
1,1:48,3,7,IND 35,6,7,"Penalty on Qadry Ismail: False Start, 5 yards (no play)",0.230,-0.430
1,1:48,3,12,IND 30,6,7,Peyton Manning pass incomplete intended for Reggie Wayne,-0.430,-1.370
1,1:44,4,12,IND 30,6,7,"Hunter Smith punts 53 yards, returned by Chris McAlister for 4 yards (tackle by Detron Smith)",-1.370,-0.340
1,1:31,1,10,BAL 21,6,7,Chris Redman pass complete to Travis Taylor for 21 yards (tackle by Walt Harris),0.340,1.730
1,0:57,1,10,BAL 42,6,7,Chester Taylor for 1 yard (tackle by James Cannida),1.730,1.320
1,0:21,2,9,BAL 43,6,7,Chris Redman pass incomplete intended for Travis Taylor,1.320,0.630
1,0:17,3,9,BAL 43,6,7,"Chris Redman pass complete to Javin Hunter for 7 yards (tackle by David Gibson). Javin Hunter fumbles (forced by David Gibson), ball out of bounds at IND-50",0.630,-0.060
1,0:02,4,2,IND 50,6,7,"Dave Zastudil punts 21 yards, out of bounds",-0.060,-0.870
Quarter,Time,Down,ToGo,Location,BAL,IND,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,IND 29,6,7,Edgerrin James left tackle for 2 yards (tackle by Peter Boulware),0.870,0.600
