Unnamed: 0,CIN,NYG
First Downs,24,24
Rush-Yds-TDs,27-102-1,25-117-1
Cmp-Att-Yd-TD-INT,27-39-286-1-0,26-43-289-1-0
Sacked-Yards,6-41,0-0
Net Pass Yards,245,289
Total Yards,347,406
Fumbles-Lost,2-0,0-0
Turnovers,0,0
Penalties-Yards,8-57,6-40
Third Down Conv.,10-17,5-12
Fourth Down Conv.,0-0,0-0
Time of Possession,33:15,33:06
