Quarter,Time,Down,ToGo,Location,CIN,NYG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Giants won the coin toss, Giants to receive the opening kickoff.",,
1,15:00,,,CIN 30,0,0,"Shayne Graham kicks off 69 yards, returned by Ahmad Bradshaw for 26 yards (tackle by Rashad Jeanty)",0.000,0.740
1,14:54,1,10,NYG 27,0,0,Eli Manning pass complete short middle to Steve Smith for 9 yards (tackle by David Jones),0.740,1.410
1,14:18,2,1,NYG 36,0,0,Brandon Jacobs left end for 1 yard (tackle by John Thornton and Nedu Ndukwe),1.410,1.400
1,13:39,1,10,NYG 37,0,0,Brandon Jacobs left tackle for 5 yards (tackle by Rashad Jeanty and Dhani Jones),1.400,1.530
1,12:55,2,5,NYG 42,0,0,Eli Manning pass complete short middle to Steve Smith for 4 yards (tackle by Dhani Jones),1.530,1.360
1,12:18,3,1,NYG 46,0,0,Brandon Jacobs right tackle for no gain (tackle by John Thornton and Orien Harris),1.360,-0.320
1,11:31,4,1,NYG 46,0,0,"Jeff Feagles punts 54 yards, touchback",-0.320,-0.280
1,11:10,1,10,CIN 20,0,0,Carson Palmer sacked by Fred Robbins for -6 yards,0.280,-1.180
1,10:37,2,16,CIN 14,0,0,Carson Palmer pass complete short right to Reggie Kelly for 3 yards (tackle by Antonio Pierce),-1.180,-1.510
1,10:02,,,,0,0,Timeout #1 by Cincinnati Bengals,0.000,-1.510
1,10:02,3,13,CIN 17,0,0,"Penalty on Levi Jones: False Start, 5 yards (no play)",-1.510,-2.360
1,10:02,3,18,CIN 12,0,0,"Carson Palmer sacked by Corey Webster for -8 yards. Carson Palmer fumbles (forced by Corey Webster), recovered by Bobbie Williams at CIN-9",-2.360,-2.490
1,9:23,4,21,CIN 9,0,0,"Kyle Larson punts 55 yards, returned by Domenik Hixon for 30 yards (tackle by Rashad Jeanty). Penalty on Darcy Johnson: Illegal Block Above the Waist, 10 yards",-2.490,-0.810
1,9:07,1,10,NYG 28,0,0,Brandon Jacobs left tackle for 1 yard (tackle by Domata Peko),0.810,0.400
1,8:33,2,9,NYG 29,0,0,Brandon Jacobs right tackle for 2 yards (tackle by Dhani Jones and Keith Rivers),0.400,-0.030
1,7:44,3,7,NYG 31,0,0,"Penalty on Antwan Odom: Defensive Offside, 5 yards (no play)",-0.030,0.630
1,7:17,3,2,NYG 36,0,0,Eli Manning pass incomplete short left intended for Amani Toomer,0.630,-0.980
1,7:10,4,2,NYG 36,0,0,"Jeff Feagles punts 48 yards, returned by Antonio Chatman for 21 yards (tackle by Domenik Hixon)",-0.980,-1.400
1,6:58,1,10,CIN 37,0,0,"Penalty on Fred Robbins: Encroachment, 5 yards (no play)",1.400,2.130
1,6:58,1,5,CIN 42,0,0,Chris Perry right guard for 12 yards (tackle by Kevin Dockery),2.130,2.520
1,6:28,1,10,NYG 46,0,0,Chris Perry left guard for 7 yards (tackle by Antonio Pierce and Michael Johnson),2.520,2.920
1,5:47,2,3,NYG 39,0,0,Chris Perry right tackle for no gain (tackle by Antonio Pierce),2.920,2.210
1,5:04,3,3,NYG 39,0,0,Carson Palmer pass complete short right to Antonio Chatman for 7 yards (tackle by Kevin Dockery),2.210,3.450
1,4:32,1,10,NYG 32,0,0,Carson Palmer pass complete short middle to T.J. Houshmandzadeh for 7 yards (tackle by Aaron Ross),3.450,3.850
1,3:54,2,3,NYG 25,0,0,"Penalty on Fred Robbins: Encroachment, 5 yards (no play)",3.850,4.240
1,3:34,1,10,NYG 20,0,0,Carson Palmer pass incomplete short right intended for Daniel Coats,4.240,3.690
1,3:25,2,10,NYG 20,0,0,"Carson Palmer for no gain. Carson Palmer fumbles, recovered by Carson Palmer at CIN-NYG",3.690,3.010
1,2:49,3,10,NYG 20,0,0,Carson Palmer up the middle for 15 yards (tackle by James Butler),3.010,6.060
1,2:11,1,5,NYG 5,0,0,Carson Palmer pass incomplete short middle intended for T.J. Houshmandzadeh (defended by James Butler),6.060,5.150
1,2:04,2,5,NYG 5,0,0,Chris Perry right guard for 2 yards (tackle by Aaron Ross and Antonio Pierce),5.150,4.720
1,1:24,3,3,NYG 3,0,0,Carson Palmer pass complete short left to Reggie Kelly for -1 yards (tackle by Aaron Ross),4.720,3.030
1,0:48,4,4,NYG 4,3,0,Shayne Graham 22 yard field goal good,3.030,3.000
1,,,,CIN 30,3,0,"Shayne Graham kicks off 70 yards, returned by Ahmad Bradshaw for 20 yards (tackle by Brandon Johnson)",0.000,0.280
