Unnamed: 0,CHI,GNB
First Downs,9,24
Rush-Yds-TDs,20-83-0,38-200-1
Cmp-Att-Yd-TD-INT,17-33-159-0-0,23-30-227-2-1
Sacked-Yards,1-8,0-0
Net Pass Yards,151,227
Total Yards,234,427
Fumbles-Lost,1-1,0-0
Turnovers,1,1
Penalties-Yards,8-65,6-55
Third Down Conv.,3-12,7-14
Fourth Down Conv.,0-2,1-1
Time of Possession,22:32,37:28
