Unnamed: 0,CHI,DAL
First Downs,22,24
Rush-Yds-TDs,43-240-2,29-200-4
Cmp-Att-Yd-TD-INT,18-24-156-2-0,21-27-250-2-1
Sacked-Yards,4-25,1-8
Net Pass Yards,131,242
Total Yards,371,442
Fumbles-Lost,1-1,0-0
Turnovers,1,1
Penalties-Yards,6-45,6-41
Third Down Conv.,6-15,9-11
Fourth Down Conv.,2-3,0-0
Time of Possession,36:04,23:56
