Quarter,Time,Tm,Detail,CHI,DAL
1.0,10:18,Cowboys,Dak Prescott 7 yard rush (Brett Maher kick),0,7
,5:19,Cowboys,CeeDee Lamb 21 yard pass from Dak Prescott (Brett Maher kick),0,14
2.0,13:41,Bears,Justin Fields 3 yard rush (Cairo Santos kick),7,14
,10:50,Cowboys,Tony Pollard 18 yard rush (Brett Maher kick),7,21
,6:48,Cowboys,Jake Ferguson 1 yard pass from Dak Prescott (Brett Maher kick),7,28
,0:40,Bears,N'Keal Harry 17 yard pass from Justin Fields (Cairo Santos kick),14,28
,0:00,Bears,Cairo Santos 36 yard field goal,17,28
3.0,9:42,Bears,Khalil Herbert 12 yard rush (pass failed),23,28
,6:51,Cowboys,Tony Pollard 7 yard rush (Brett Maher kick),23,35
,5:00,Cowboys,Micah Parsons 36 yard fumble return (Brett Maher kick),23,42
4.0,13:40,Bears,Cole Kmet 10 yard pass from Justin Fields (pass failed),29,42
,10:35,Cowboys,Tony Pollard 54 yard rush (Brett Maher kick),29,49
