Quarter,Time,Tm,Detail,NOR,DET
1.0,11:58,Lions,D'Andre Swift 7 yard pass from Matthew Stafford (Matt Prater kick),0,7
,10:23,Lions,Kenny Golladay 15 yard pass from Matthew Stafford (Matt Prater kick),0,14
,3:08,Saints,Latavius Murray 3 yard rush (Wil Lutz kick),7,14
2.0,10:10,Saints,Alvin Kamara 1 yard rush (Wil Lutz kick),14,14
,3:03,Saints,Tre'Quan Smith 2 yard pass from Drew Brees (Wil Lutz kick),21,14
,0:44,Saints,Tre'Quan Smith 20 yard pass from Drew Brees (Wil Lutz kick),28,14
3.0,8:52,Saints,Latavius Murray 6 yard rush (Wil Lutz kick),35,14
,4:19,Lions,T.J. Hockenson 1 yard pass from Matthew Stafford (Matt Prater kick),35,21
4.0,3:40,Lions,Adrian Peterson 5 yard rush (T.J. Hockenson pass from Matthew Stafford),35,29
