Quarter,Time,Down,ToGo,Location,NOR,DET,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Saints won the coin toss and deferred, Lions to receive the opening kickoff.",,
1,15:00,,,NOR 35,0,0,"Wil Lutz kicks off 67 yards, returned by Jamal Agnew for 25 yards (tackle by Kaden Elliss)",0.000,0.480
1,14:54,1,10,DET 23,0,0,Matthew Stafford pass incomplete deep middle intended for Kenny Golladay,0.480,-0.070
1,14:49,2,10,DET 23,0,0,Matthew Stafford pass incomplete short left intended for Adrian Peterson,-0.070,-0.760
1,14:44,3,10,DET 23,0,0,Matthew Stafford up the middle for 12 yards (tackle by Marcus Williams),-0.760,1.270
1,14:11,1,10,DET 35,0,0,Adrian Peterson up the middle for 1 yard (tackle by Patrick Robinson),1.270,0.860
1,13:32,2,9,DET 36,0,0,Matthew Stafford pass incomplete short left intended for Adrian Peterson,0.860,0.170
1,13:27,3,9,DET 36,0,0,Matthew Stafford pass complete short right to Danny Amendola for 50 yards (tackle by Chauncey Gardner-Johnson),0.170,4.650
1,12:39,1,10,NOR 14,0,0,Adrian Peterson left end for 7 yards (tackle by Alex Anzalone),4.650,5.280
1,12:02,2,3,NOR 7,0,6,"Matthew Stafford pass complete short middle to D'Andre Swift for 7 yards, touchdown",5.280,7.000
1,11:58,,,NOR 15,0,7,Matt Prater kicks extra point good,0.000,0.000
1,11:58,,,DET 35,0,7,"Jack Fox kicks off 60 yards, returned by Deonte Harris for 14 yards (tackle by Miles Killebrew)",0.000,0.150
1,11:51,1,10,NOR 19,0,7,Drew Brees pass short middle (defended by Danny Shelton) intended for Emmanuel Sanders is intercepted by Darryl Roberts at NO-24 and returned for 6 yards,0.150,-4.370
1,11:44,1,10,NOR 18,0,7,Adrian Peterson right end for 2 yards (tackle by Malcom Brown and Chauncey Gardner-Johnson),4.370,4.090
1,11:10,2,8,NOR 16,0,7,Matthew Stafford right end for 1 yard (tackle by Marcus Williams),4.090,3.460
1,10:29,3,7,NOR 15,0,13,"Matthew Stafford pass complete short left to Kenny Golladay for 15 yards, touchdown",3.460,7.000
1,10:23,,,NOR 15,0,14,Matt Prater kicks extra point good,0.000,0.000
1,10:23,,,DET 35,0,14,"Jack Fox kicks off 65 yards, touchback.",0.000,0.610
1,10:23,1,10,NOR 25,0,14,Drew Brees pass complete short right to Marquez Callaway for 16 yards (tackle by Desmond Trufant),0.610,1.660
1,9:51,1,10,NOR 41,0,14,Alvin Kamara left tackle for 3 yards (tackle by Christian Jones and Danny Shelton),1.660,1.530
1,9:19,2,7,NOR 44,0,14,Deonte Harris right end for 6 yards (tackle by Romeo Okwara),1.530,1.620
1,8:33,3,1,NOR 50,0,14,Latavius Murray up the middle for 2 yards (tackle by Nick Williams and John Penisini),1.620,2.390
1,7:55,1,10,DET 48,0,14,Drew Brees pass incomplete deep right intended for Alvin Kamara,2.390,1.850
1,7:51,2,10,DET 48,0,14,Latavius Murray left tackle for 7 yards (tackle by Christian Jones),1.850,2.080
1,7:10,3,3,DET 41,0,14,Alvin Kamara left tackle for 5 yards (tackle by Jayron Kearse and Jamie Collins),2.080,3.180
1,6:35,1,10,DET 36,0,14,Drew Brees pass complete deep left to Emmanuel Sanders for 18 yards (tackle by Amani Oruwariye),3.180,4.370
1,5:52,1,10,DET 18,0,14,Deonte Harris left end for 4 yards (tackle by Tracy Walker),4.370,4.430
1,5:10,2,6,DET 14,0,14,Alvin Kamara right tackle for 8 yards (tackle by Duron Harmon),4.430,5.830
1,4:34,1,6,DET 6,0,14,Alvin Kamara right tackle for 3 yards (tackle by Reggie Ragland and Danny Shelton),5.830,5.530
1,3:57,,,,,,Timeout #1 by New Orleans Saints,,
1,3:57,2,3,DET 3,0,14,Taysom Hill right tackle for no gain (tackle by Tracy Walker and Danny Shelton),5.530,4.720
1,3:13,3,3,DET 3,6,14,"Latavius Murray up the middle for 3 yards, touchdown",4.720,7.000
1,3:08,,,DET 15,7,14,Wil Lutz kicks extra point good,0.000,0.000
1,3:08,,,NOR 35,7,14,"Wil Lutz kicks off 69 yards, returned by Jamal Agnew for 26 yards (tackle by Zack Baun)",0.000,0.410
1,3:03,1,10,DET 22,7,14,Matthew Stafford pass incomplete short right intended for T.J. Hockenson,0.410,-0.130
1,2:58,2,10,DET 22,7,14,Matthew Stafford pass complete short middle to D'Andre Swift for 14 yards (tackle by Alex Anzalone),-0.130,1.330
1,2:16,1,10,DET 36,7,14,D'Andre Swift left end for 7 yards (tackle by Alex Anzalone),1.330,1.740
1,1:44,2,3,DET 43,7,14,Matthew Stafford pass incomplete short right intended for Kenny Golladay (defended by Patrick Robinson),1.740,1.030
1,1:40,3,3,DET 43,7,14,Matthew Stafford sacked by Cameron Jordan for -4 yards,1.030,-0.780
1,1:01,4,7,DET 39,7,14,"Jack Fox punts 52 yards, returned by Deonte Harris for 11 yards (tackle by Jalen Reeves-Maybin)",-0.780,-0.280
1,0:52,1,10,NOR 20,7,14,Latavius Murray up the middle for 7 yards (tackle by Jamie Collins),0.280,0.680
1,0:12,2,3,NOR 27,7,14,Latavius Murray left tackle for 5 yards (tackle by Romeo Okwara),0.680,1.070
Quarter,Time,Down,ToGo,Location,NOR,DET,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,NOR 32,7,14,Drew Brees pass complete deep middle to Emmanuel Sanders for 19 yards (tackle by Christian Jones),1.070,2.320
2,14:19,1,10,DET 49,7,14,Alvin Kamara up the middle for 9 yards (tackle by Jeff Okudah and Duron Harmon),2.320,3.000
2,13:28,2,1,DET 40,7,14,Drew Brees sacked by Romeo Okwara for -11 yards,3.000,0.830
2,12:44,3,12,NOR 49,7,14,Drew Brees pass complete short middle to Taysom Hill for 8 yards (tackle by Tracy Walker),0.830,0.400
2,12:01,4,4,DET 43,7,14,Drew Brees pass complete deep right to Alvin Kamara for 29 yards (tackle by Amani Oruwariye),0.400,4.650
2,11:22,1,10,DET 14,7,14,"Taysom Hill aborted snap, recovered by Alvin Kamara at DET-20 (tackle by Trey Flowers)",4.650,3.280
2,10:37,2,16,DET 20,7,14,Drew Brees pass complete short middle to Latavius Murray for 19 yards (tackle by Will Harris),3.280,6.970
2,10:13,1,1,DET 1,13,14,"Alvin Kamara right end for 1 yard, touchdown",6.970,7.000
2,10:10,,,DET 15,14,14,Wil Lutz kicks extra point good,0.000,0.000
2,10:10,,,NOR 35,14,14,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
2,10:10,1,10,DET 25,14,14,Matthew Stafford pass complete deep right to Jesse James for 31 yards (tackle by Malcolm Jenkins),0.610,2.650
2,9:21,1,10,NOR 44,14,14,Adrian Peterson left tackle for 4 yards (tackle by Demario Davis and Cameron Jordan),2.650,2.650
2,8:44,2,6,NOR 40,14,14,"Matthew Stafford pass incomplete deep left intended for Marvin Jones. Penalty on Marcus Williams: Defensive Pass Interference, 29 yards (no play)",2.650,4.840
2,8:38,1,10,NOR 11,14,14,Matthew Stafford pass short right intended for T.J. Hockenson is intercepted by Patrick Robinson at NO-0 and returned for no gain,4.840,-0.280
2,8:29,1,10,NOR 20,14,14,Alvin Kamara right end for 3 yards (tackle by Christian Jones and Jamie Collins),0.280,0.140
